datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind,x,y,x_anom,y_anom,x_tide,y_tide,x_notide,y_notide,u_tides,v_tides
2020-07-11 23:00:00,2019S96,0.96602,81.4466,-0.3370165076628019,-0.0574528975386368,0.3418785776746132,-1534.022210937356,-9.859999656677246,-2.003000020980835,667324.4796353019,-645193.0357964559,,,,,,,,
2020-07-12 00:00:00,2019S96,0.8866,81.4448,-0.3497914620169356,-0.0302628093165066,0.3510981408775508,-1620.8856885080045,-9.404000282287598,-2.127000093460083,666570.25726642,-646253.8779677327,,,,,,,,
2020-07-12 01:00:00,2019S96,0.81058,81.4446,-0.3150148470493681,0.0150930705726921,0.3153762112792419,-1720.22638522328,-9.338000297546388,-2.1619999408721924,665727.8400164932,-647152.8964492487,,,,,,,,
2020-07-12 02:00:00,2019S96,0.74662,81.4458,-0.2564759800887436,0.0544231442189536,0.2621865881183831,-1799.170901906856,-9.093000411987305,-1.8489999771118164,664911.3918282967,-647804.4532012449,,,,,,,,
2020-07-12 03:00:00,2019S96,0.6966,81.4482,-0.1814000354261997,0.0756001467303122,0.1965231666706784,-1844.984432971568,-8.675999641418457,-1.49399995803833,664158.5388662551,-648202.1195781298,,,,,,,,
2020-07-12 04:00:00,2019S96,0.66599,81.4508,-0.1039141229410615,0.0725918201124139,0.1267584998879488,-1847.130942958241,-8.029999732971191,-1.2669999599456787,663609.6058815068,-648358.9659548623,,,,,,,,
2020-07-12 05:00:00,2019S96,0.6504,81.453,-0.0489997032460501,0.0483995055444685,0.0688729486456766,-1832.2800634716873,-7.466000080108643,-1.2619999647140503,663261.8315769761,-648372.0210256422,,,,,,,,
2020-07-12 06:00:00,2019S96,0.6442,81.454,-0.0256304785107095,0.0121006414818848,0.0283433758215399,-1824.224439011782,-6.974999904632568,-1.25600004196167,663113.7967014355,-648367.6503394668,,,,,,,,
2020-07-12 07:00:00,2019S96,0.639,81.4538,-0.0305779791157164,-0.0242008824206513,0.0389960961730707,-1828.1728219139031,-6.682000160217285,-1.35099995136261,663070.5226768531,-648443.0591194738,,,,,,,,
2020-07-12 08:00:00,2019S96,0.6306,81.4524,-0.0535211466548868,-0.0544507184149211,0.0763504674193611,-1846.39178595961,-6.5370001792907715,-1.496000051498413,663084.4421263596,-648646.8835117617,,,,,,,,
2020-07-12 09:00:00,2019S96,0.6152,81.4502,-0.0868456293205678,-0.0725995774923749,0.1131939131939382,-1873.2099623457364,-7.0329999923706055,-1.1790000200271606,663081.3049314164,-648992.6767333423,,,,,,,,
2020-07-12 10:00:00,2019S96,0.59199,81.4476,-0.1174199858464354,-0.0756250273555197,0.1396660224918724,-1901.759877555677,-7.421000003814697,-1.2450000047683716,663020.6331939672,-649459.3779335306,,,,,,,,
2020-07-12 11:00:00,2019S96,0.56301,81.4452,-0.1354489876942983,-0.0605022730028,0.14834740747959,-1923.7118553329544,-7.3979997634887695,-0.671999990940094,662878.6856357526,-649977.6475212254,,,,,,,,
2020-07-12 12:00:00,2019S96,0.5318,81.4436,-0.1346411406038377,-0.0393313295583565,0.1402682794787561,-1941.355502195979,-6.795000076293945,-0.2169999927282333,662648.8880810813,-650460.700074714,,,,,,,,
2020-07-12 13:00:00,2019S96,0.50319,81.4426,-0.1161306428908634,-0.0211824961939517,0.1180467041609042,-1953.8611471899872,-6.172999858856201,-0.2610000073909759,662401.6890629524,-650867.83633881,,,,,,,,
2020-07-12 14:00:00,2019S96,0.48021,81.4422,-0.0882243328016299,-0.0090809868512358,0.0886904573248164,-1961.899712034981,-5.6579999923706055,-0.3449999988079071,662171.6491838887,-651164.0027819442,,,,,,,,
2020-07-12 15:00:00,2019S96,0.464,81.442,-0.0612572693864304,-0.0060533039744733,0.0615556296506589,-1967.3882321405613,-5.416999816894531,-0.2849999964237213,662002.9230814414,-651366.593782764,,,,,,,,
2020-07-12 16:00:00,2019S96,0.453,81.4418,-0.0369216924565515,-0.0060523248229297,0.0374144625728931,-1971.61127425082,-5.004000186920166,-0.0439999997615814,661893.3808737559,-651508.9570694332,-335.0312267554691,-170.40440980589483,-40.95495560299128,-286.3273561389945,-294.07627115247783,115.92294633309967,,
2020-07-12 17:00:00,2019S96,0.4476,81.4416,-0.0252162413451345,-0.0121009590770617,0.0279694840524596,-1974.4366966825323,-4.724999904632568,0.2419999986886978,661847.4966258202,-651586.6174784689,-275.43068885826506,11.469470357405953,-246.95726812539033,-291.40018664630657,-28.47342073287473,302.8696570037125,-0.05675499752158092,0.01195328586638389
2020-07-12 18:00:00,2019S96,0.4418,81.441,-0.0337747893001684,-0.024201110205976,0.0415503324592303,-1979.989865875104,-4.043000221252441,0.31700000166893,661828.0949853238,-651699.4610642204,-207.21216598059982,151.0420355045935,-449.5909377583739,-200.2636979010305,242.3787717777741,351.305733405624,-0.04904933435343145,0.033306805142881084
2020-07-12 19:00:00,2019S96,0.4326,81.44,-0.0531465100054805,-0.0393260745926605,0.0661142319673316,-1988.6854872303809,-3.6649999618530273,0.382999986410141,661801.032813803,-651882.149628972,-162.02701349218842,216.86832791077904,-600.1124754700968,-51.59118961756275,438.0854619779084,268.4595175283418,-0.029645695105287948,0.04197034731256589
2020-07-12 20:00:00,2019S96,0.4182,81.4384,-0.0689218196331317,-0.0574791272166124,0.0897444554673182,-2002.6968812696712,-3.36299991607666,0.5379999876022339,661761.2894169932,-652170.7724349105,-142.37633271201048,174.69441147171892,-663.0399425164471,101.92280274944392,520.6636098044366,72.771608722275,-0.0034061815996828827,0.03612131721630379
