datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind,x,y,x_anom,y_anom,x_tide,y_tide,x_notide,y_notide,u_tides,v_tides
2020-07-11 19:00:00,2019V3,0.25942,81.59231,-0.163889795663411,0.0148277599056378,0.1645591917408865,-2076.3313918319022,-9.300999641418455,-3.200000047683716,648046.2859573461,-642204.3355316332,-1211.4550136268372,-740.3662880960619,-16.41266936308216,390.7712523670708,-1195.042344263755,-1131.1375404631326,-0.01598822954691749,-0.013675679820641244
2020-07-11 20:00:00,2019V3,0.22001,81.59228,-0.188660427928555,-0.0126930513617639,0.1890869393137926,-2104.47250768708,-9.093000411987305,-3.197000026702881,647606.7212861555,-642652.2330121578,-1422.1724584507756,-889.2906217144337,-61.4056514049704,309.67193275016336,-1360.7668070458053,-1198.962554464597,-0.007431656434292948,-0.029132426822713834
2020-07-11 21:00:00,2019V3,0.17412,81.59147,-0.2211073358621466,-0.036129356309698,0.2240396937138801,-2130.2157755591047,-9.050000190734863,-3.046999931335449,647154.3493053882,-643232.892609187,-1680.0247894281056,-1208.2286079290789,-69.92059568999139,181.0177792435312,-1610.1041937381142,-1389.24638717261,0.0026939794579033892,-0.03856671567897807
2020-07-11 22:00:00,2019V3,0.12005,81.58989,-0.2601071072403984,-0.0560868345950749,0.2660854002982189,-2149.97998963114,-9.402000427246094,-2.872999906539917,646668.9514452345,-643964.7243479962,-2008.9012331932317,-1718.6942691244185,-42.008999308065995,31.991579861521245,-1966.8922338851658,-1750.6858489859396,0.011267641112293758,-0.0399011499890883
2020-07-11 23:00:00,2019V3,0.05655,81.58776,-0.2434670380880221,-0.0658235029255499,0.2522081128210278,-2141.013771789274,-9.574000358581545,-2.5899999141693115,646119.0228864982,-644844.8621712462,-2443.912603787612,-2421.9081547111273,11.20642031852367,-106.27050067790458,-2455.119024106136,-2315.6376540332226,0.015698018291740095,-0.03312627167136344
2020-07-12 00:00:00,2019V3,0.01002,81.58554,0.0639777805260453,-0.0545281113798453,0.0840623062477567,-2104.9172718533314,-9.361000061035156,-2.640000104904175,645766.0928116185,-645540.2665821302,-2727.4673912758008,-2989.613059443189,71.0167323924627,-206.51757617229555,-2798.4841236682632,-2783.095483270893,0.014656604529626046,-0.020230564959453544
2020-07-12 01:00:00,2019V3,0.08543,81.58415,0.3193251758485593,-0.0172591811352751,0.3197912557656534,-2161.0098092848634,-9.383000373840332,-2.489000082015991,646722.3479661199,-644796.6467988589,-1749.6573890596628,-2170.4946500886,116.7339729318312,-251.9305683859701,-1866.391361991494,-1918.5640817026297,0.008443379480507314,-0.0046095599384555425
2020-07-12 02:00:00,2019V3,0.15428,81.5844,0.276916620981965,0.0255284350179453,0.2780908412201573,-2158.828059331006,-9.135000228881836,-2.0339999198913574,647477.405676611,-643999.8442685143,-1013.9695912356256,-1342.9291162092704,131.80906465211535,-239.70640772917545,-1145.778655887741,-1103.222708480095,-0.0011120928297001676,0.009871935809752444
2020-07-12 03:00:00,2019V3,0.21053,81.58584,0.2061508156508589,0.0510828834430911,0.2123855451163634,-2134.3670224105176,-8.71399974822998,-1.616000056266785,647998.0568194436,-643253.4072745257,-548.1853514839895,-602.1973068498774,108.72690455799,-180.8526305557525,-656.9122560419795,-421.34467629412484,-0.011180966543911744,0.019903337574209465
2020-07-12 04:00:00,2019V3,0.24742,81.58778,0.1258973354221456,0.0523089576817363,0.1363318235781577,-2103.449190045116,-8.053000450134277,-1.343000054359436,648262.065257016,-642687.3320392447,-370.8979677485768,-70.08569925406482,51.30610553595079,-96.40237719486731,-422.20407328452757,26.316677940802492,-0.018744108789192686,0.023561843906661106
