,date,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
0,2005-04-01 12:00:00,2005_0008,888724.86762,-1439481.33711,-13.30579,74.47479,-0.12179940993345888,-0.1968433517730442,211.74769477990233,0.23147872774271328,-0.39500001072883606,-6.374000072479248
1,2005-04-02 12:00:00,2005_0008,888705.03144,-1459481.08935,-13.66183,74.32052,-0.061321572040735205,-0.14301017635445706,203.20925035864508,0.15560284617731124,-0.13600000739097595,2.058000087738037
3,2005-04-01 12:00:00,2005_0013,740318.94839,-860485.66745,-4.29294,79.54925,-0.03019277838950457,-0.14306437364330474,191.91701930068342,0.14621565878122916,-1.0499999523162842,-4.797999858856201
4,2005-04-02 12:00:00,2005_0013,746403.03417,-871557.13623,-4.42316,79.43603,0.02430910949485672,-0.07826639357680332,162.7454943517189,0.08195462871584504,1.2730000019073486,2.617000102996826
6,2005-04-01 12:00:00,2005_0021,759756.2,-1656195.0,-20.35737,73.29386,-0.0010966762583581278,-0.0005392806060428217,243.81476581514173,0.0012220975360830641,-0.6549999713897705,-3.875
7,2005-04-02 12:00:00,2005_0021,759689.50431,-1656276.85823,-20.36035,73.29344,0.004132706541703963,0.0036617550600949993,48.45768172444156,0.005521568027288449,1.065999984741211,3.0209999084472656
9,2005-04-01 12:00:00,2005_0023,749615.82418,-817910.27656,-2.49592,79.78433,0.01689139983597926,-0.22283618679103384,175.6651625899873,0.22347546964261525,-0.5989999771118164,-5.195000171661377
10,2005-04-02 12:00:00,2005_0023,763700.21021,-831117.8414,-2.42069,79.60796,0.05853800112742176,0.06407525926815694,42.41425924413335,0.08678903402086904,1.8739999532699585,2.384999990463257
11,2005-04-03 12:00:00,2005_0023,763678.6,-823619.3,-2.1626,79.65856,-0.06859158794285744,-0.2741889812460184,194.04496411333474,0.28263829070607577,-5.218999862670898,-6.410999774932861
13,2005-04-01 12:00:00,2005_0024,889752.75912,-1462915.14688,-13.68935,74.28888,-0.0897248813654324,-0.2014317934657641,204.00989082122362,0.22051150027804708,-0.8009999990463257,-6.565999984741211
14,2005-04-02 12:00:00,2005_0024,892173.05735,-1481812.98375,-13.94849,74.13109,-0.05101845375558052,-0.14182641062736118,199.78490800009672,0.1507236324371569,-0.10199999809265137,2.3259999752044678
16,2005-04-01 12:00:00,2005_0026,758225.3,-1672589.7,-20.61406,73.16472,-7.484459584847968e-05,0.0001683729373407076,336.0340502564574,0.00018425840430346755,-0.4779999852180481,-3.4189999103546143
17,2005-04-02 12:00:00,2005_0026,758213.40399,-1672579.12035,-20.61426,73.16485,0.001452146324881243,0.00014510344145970272,84.29375060345257,0.0014593779351455025,1.1380000114440918,3.052999973297119
19,2005-04-01 12:00:00,2005_0027,856475.55182,-1481955.83252,-14.97483,74.2944,-0.074818713765727,-0.13093872645840648,209.74375458188854,0.15080712853213268,-0.7580000162124634,-6.1620001792907715
20,2005-04-02 12:00:00,2005_0027,856539.54679,-1494985.41127,-15.18977,74.19173,0.008720333931644855,-0.0459272761439519,169.24907509863868,0.04674782260044002,0.20600000023841858,3.2100000381469727
22,2005-04-01 12:00:00,2005_0029,668673.7,-1378748.2,-19.12726,75.9229,0.0,0.0,90.0,0.0,1.6180000305175781,-1.0010000467300415
23,2005-04-02 12:00:00,2005_0029,668673.7,-1378748.2,-19.12726,75.9229,0.0,0.0,90.0,0.0,1.2890000343322754,2.5969998836517334
25,2005-04-01 12:00:00,2005_0033,939436.8978,-1457024.09918,-12.18766,74.09521,-0.007918046807699738,0.12001953152941261,356.2254961242931,0.12028043653806962,-1.3969999551773071,-7.60099983215332
26,2005-04-02 12:00:00,2005_0033,933242.68862,-1448679.62729,-12.21028,74.18917,-0.008949252941816019,-0.13903537168906244,183.68286174441192,0.13932309108303745,-0.4740000069141388,0.5099999904632568
28,2005-04-01 12:00:00,2005_0035,986262.73186,-1508218.89072,-11.8172,73.47542,-0.07298583215349666,-0.123000911359879,210.68389163751112,0.14302501840761705,-2.4600000381469727,-8.805999755859375
30,2005-04-01 12:00:00,2005_0036,945552.48026,-1617728.03094,-14.69161,72.82682,-0.106076871467255,-0.19536442747913912,208.50059843158516,0.2223051105677338,-3.7130000591278076,-10.088000297546387
32,2005-04-01 12:00:00,2005_0044,977007.41743,-1547564.41106,-12.73289,73.22115,-0.1100351266366466,-0.15958762819673303,214.58613105656994,0.19384514481255793,-2.990000009536743,-9.20300006866455
34,2005-04-01 12:00:00,2005_0054,897534.21295,-1419141.88438,-12.68871,74.58916,-0.18393505984622568,-0.2428299464968695,217.1426357240948,0.3046284444307641,-0.4480000138282776,-6.538000106811523
35,2005-04-02 12:00:00,2005_0054,895317.45262,-1445368.26391,-13.22415,74.39818,-0.07049929024184862,-0.14875379301653227,205.35780420143072,0.1646142182844779,0.36000001430511475,2.390000104904175
37,2005-04-01 12:00:00,2005_0055,847423.52417,-1495276.27002,-15.4583,74.23035,-0.05730383194996449,-0.12982341297002337,203.8165810940663,0.141907884598901,-0.6700000166893005,-5.935999870300293
38,2005-04-02 12:00:00,2005_0055,848646.61458,-1507475.95352,-15.62226,74.12862,0.009897547983605854,-0.04193025125819822,166.7185637545595,0.04308256522844727,0.2800000011920929,3.440000057220459
40,2005-04-01 12:00:00,2005_0056,894889.33248,-1389673.90969,-12.21687,74.82743,-0.0750101723135787,-0.3069027077913075,193.7344204025003,0.31593638283703485,-0.12300000339746475,-6.300000190734863
41,2005-04-02 12:00:00,2005_0056,903796.75933,-1415476.59727,-12.44117,74.58675,-0.04028917741997412,-0.23861740168086779,189.58367372547326,0.24199479788232384,0.19099999964237213,1.687999963760376
43,2005-04-01 12:00:00,2005_0057,857975.96023,-1584148.0727,-16.55862,73.47992,-0.0717449017378866,-0.15405263753368323,204.97218661404887,0.1699398306944649,-1.687000036239624,-7.295000076293945
45,2005-04-01 12:00:00,2005_0064,755724.85,-1610455.4,-19.86113,73.68464,0.0003123565600820203,-0.0009163834196248415,161.17791586738798,0.000968155562081627,0.9369999766349792,-2.888000011444092
46,2005-04-02 12:00:00,2005_0064,755782.9162,-1610515.61139,-19.86027,73.68393,0.00015767989489739293,-0.0008895433145749813,169.94819671211906,0.0009034103484905943,2.2990000247955322,3.634000062942505
48,2005-04-01 12:00:00,2005_0067,846650.2,-1529135.35,-16.02762,73.9661,-0.10579480055132429,-0.15969248342645723,213.52410677579923,0.19155737805316664,-1.0149999856948853,-6.302999973297119
49,2005-04-02 12:00:00,2005_0067,845336.76296,-1545633.70857,-16.32484,73.8409,-0.0021742435024528148,-0.04505006817790876,182.76311206937993,0.04510250522578747,-0.5929999947547913,2.247999906539917
51,2005-04-01 12:00:00,2005_0073,896693.78157,-1407175.8222,-12.49348,74.6849,-0.15492075878288253,-0.2892708592477486,208.1715451193825,0.3281433703608757,-0.08799999952316284,-6.241000175476074
52,2005-04-02 12:00:00,2005_0073,898836.78746,-1435446.3019,-12.94618,74.45769,-0.06570310630021339,-0.1674120304181724,201.42819364029896,0.17984350448718525,0.33500000834465027,2.11299991607666
54,2005-04-01 12:00:00,2005_0076,884915.77486,-1423761.79013,-13.13426,74.6142,-0.12266093031678411,-0.19523125472062916,212.1405431485789,0.23056657746943757,-0.39500001072883606,-6.374000072479248
55,2005-04-02 12:00:00,2005_0076,884819.04765,-1443682.50759,-13.4961,74.46114,-0.06120519274231837,-0.13181547117210848,204.90661125755156,0.14533201319375336,0.3619999885559082,2.6730000972747803
57,2005-04-01 12:00:00,2005_0077,771267.47832,-1690654.48248,-20.47758,72.96726,-0.03012265522967145,-0.05783736202599921,207.51124610206918,0.06521146221495228,-0.5870000123977661,-4.301000118255615
58,2005-04-02 12:00:00,2005_0077,770973.68071,-1696281.0876,-20.5578,72.9221,-0.012510481509692552,-0.026927255325151226,204.91971866800083,0.029691568280409916,0.5460000038146973,2.632999897003174
60,2005-04-01 12:00:00,2005_0079,864045.19006,-1668352.37681,-17.61907,72.78151,-0.0746498669375397,-0.13562259867622953,208.8294202724839,0.15480985726201674,-2.4240000247955322,-8.97599983215332
62,2005-04-01 12:00:00,2005_0084,777501.43448,-1010725.42638,-7.43052,78.268,-0.0075788935730009,-0.08087847889270987,185.3533925770904,0.08123280110761533,-0.8069999814033508,-5.0320000648498535
