,datetime,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
0,2011-05-23,2011_1197,597421.24612,-1137919.55152,-17.3,78.17677,-0.00219214745437484,0.002025586709288192,312.7385318544543,0.0029847130479439825,0.4399999976158142,0.656000018119812
1,2011-05-24,2011_1197,597172.19887,-1137852.63999,-17.30844,78.17837,0.0028280738592962864,-0.0011867463191484887,112.7644117825177,0.0030669803683179126,1.3569999933242798,-7.88100004196167
3,2011-05-23,2011_1198,668673.65125,-1378748.22985,-19.12726,75.92348,0.0,0.0,90.0,0.0,0.6779999732971191,0.6610000133514404
4,2011-05-24,2011_1198,668673.65125,-1378748.22985,-19.12726,75.92348,0.0,0.0,90.0,0.0,2.3550000190734863,-4.770999908447266
5,2011-05-25,2011_1198,668673.65125,-1378748.22985,-19.12726,75.92348,0.0,0.0,90.0,0.0,2.3310000896453857,-2.190999984741211
6,2011-05-26,2011_1198,668673.65125,-1378748.22985,-19.12726,75.92348,0.0,0.0,90.0,0.0,1.149999976158142,2.2100000381469727
8,2011-05-24,2011_1206,784982.55355,-766316.32943,0.68791,79.89884,-0.17554024264900686,-0.31481766634187236,209.14374765186193,0.36045046792897173,-4.613999843597412,-4.5920000076293945
9,2011-05-25,2011_1206,793851.40322,-796169.72117,-0.0825,79.64861,-0.1569292331969505,-0.2905325418107144,208.37540691393343,0.33020590861275845,0.328000009059906,-5.570000171661377
10,2011-05-26,2011_1206,801973.89973,-823518.83444,-0.75918,79.41806,-0.0644696340970264,-0.2329722569727366,195.46818522446728,0.24172795915982762,4.205999851226807,-0.859000027179718
12,2011-05-25,2011_1211,815818.23747,-952219.3941,-4.4115,78.46288,-0.08754383546436875,-0.07383968150929654,229.85372376940046,0.11452607429405243,0.7900000214576721,-5.6579999923706055
13,2011-05-26,2011_1211,814225.08033,-961985.35133,-4.75337,78.40412,-0.09685151723386329,-0.08269019197965623,229.50985913062107,0.1273494571646606,2.8450000286102295,-0.5950000286102295
14,2011-05-27,2011_1211,812453.53879,-972844.79412,-5.13352,78.33879,-0.04271579246585137,-0.11992490395911057,199.6052807881427,0.12730522972599193,1.9420000314712524,5.519000053405762
16,2011-05-26,2011_1225,553822.18658,-891180.48325,-13.14118,80.33655,0.05663005528343546,0.04615124158158721,50.82133592649137,0.07305409133598871,3.009000062942505,1.5540000200271606
18,2011-05-26,2011_1226,788101.16815,-952431.29727,-5.39348,78.62462,-0.04518577871063022,-0.11423084125096253,201.58204175187956,0.1228431507679148,2.7909998893737793,-0.3889999985694885
20,2011-05-26,2011_1229,799430.45612,-1185028.61343,-10.99606,76.86028,-0.11685038671214325,-0.13533431001194657,220.80799142297144,0.178799855540174,2.4170000553131104,1.8650000095367432
21,2011-05-27,2011_1229,797600.23048,-1200368.12057,-11.39711,76.75336,-0.13601418408872085,-0.2098580566423875,212.94826792055727,0.25008051145789023,1.9010000228881836,6.690999984741211
23,2011-05-28,2011_1276,824758.66719,-859918.86766,-1.19562,79.03358,-0.15100560328400753,-0.2545582843217151,210.67668924058714,0.2959773848455017,0.3799999952316284,2.549999952316284
24,2011-05-29,2011_1276,830566.73108,-884823.01171,-1.81068,78.83168,-0.26289009931351554,-0.15919550923075673,238.80261427589778,0.3073343691751868,-0.7799999713897705,-5.465000152587891
26,2011-05-30,2011_1291,743172.48093,-1985587.2464,-24.47996,70.60921,0.001897380780277293,-0.002627458200958172,144.1656135709394,0.003240924316170932,-1.5729999542236328,-0.28999999165534973
27,2011-05-31,2011_1291,743405.58877,-1985742.39026,-24.47553,70.60717,0.0008924472536220827,0.0024244310037492144,20.208956768256826,0.0025834720421243234,-1.656000018119812,-0.44699999690055847
28,2011-06-01,2011_1291,743404.35959,-1985519.18166,-24.47344,70.60905,0.0005175514260735545,-0.001937743800935706,165.04595591423015,0.002005669593102395,-1.8980000019073486,0.02199999988079071
29,2011-06-02,2011_1291,743504.94175,-1985660.29368,-24.47223,70.60755,-0.003486724261374805,0.0015557866618747336,294.0465697590795,0.0038180778164053973,0.2750000059604645,0.16200000047683716
30,2011-06-03,2011_1291,743175.68175,-1985640.04681,-24.48038,70.60876,0.0006688334067218774,-3.189749167943008e-05,92.73043769751314,0.0006695935901146542,3.6989998817443848,1.74399995803833
31,2011-06-04,2011_1291,743230.76852,-1985622.37185,-24.47881,70.60873,0.003260250023537336,0.0001433834108184142,87.48179624816686,0.003263401449174331,6.452000141143799,0.890999972820282
32,2011-06-05,2011_1291,743490.23632,-1985512.02372,-24.4712,70.60884,-0.0009357816055860991,-0.00018278865327925656,258.94743369538753,0.0009534667823898963,4.184000015258789,0.9079999923706055
33,2011-06-06,2011_1291,743420.05742,-1985555.16661,-24.47339,70.6087,-0.001160672663524741,-0.0002067807684093694,259.8983982241973,0.0011789483949849484,0.45399999618530273,-0.09700000286102295
34,2011-06-07,2011_1291,743332.4068,-1985607.06132,-24.4761,70.60854,0.004104135742333388,-0.003979788445176257,134.11874315907613,0.005716873818780407,0.9319999814033508,0.414000004529953
35,2011-06-08,2011_1291,743785.05089,-1985804.76811,-24.46652,70.60545,-0.00470527580949213,0.003084706477076462,303.2482326596702,0.005626280698037496,0.8169999718666077,0.4830000102519989
36,2011-06-09,2011_1291,743310.86068,-1985697.77647,-24.4775,70.60785,-0.0011479669812454153,0.0011745198417411284,315.6550308675505,0.0016423535090452715,2.4030001163482666,0.00800000037997961
37,2011-06-10,2011_1291,743182.39526,-1985637.5099,-24.48018,70.60876,0.0006183097914604645,0.0001295439204615496,78.16694966512239,0.0006317346163892171,2.562000036239624,0.421999990940094
38,2011-06-11,2011_1291,743228.5043,-1985608.30139,-24.47874,70.60886,0.0038445007712387853,-0.0035508571479907604,132.7261808083415,0.0052334283854365195,1.4240000247955322,-0.4690000116825104
39,2011-06-12,2011_1291,743647.13888,-1985779.18492,-24.46976,70.6061,-0.002745063461717316,0.0016330941249490688,300.74927517791156,0.003194114874233333,1.0149999856948853,-0.21899999678134918
40,2011-06-13,2011_1291,743375.54517,-1985730.22433,-24.47617,70.60737,0.0004069293253050474,-0.0009602592619731963,157.03421331856015,0.0010429234516485515,0.12999999523162842,-0.9079999923706055
41,2011-06-14,2011_1291,743437.55998,-1985795.59803,-24.47522,70.60662,-0.00031671025885307693,0.0008726511977865022,340.0527069799193,0.0009283455720048435,-0.061000000685453415,-0.03799999877810478
42,2011-06-15,2011_1291,743385.4981,-1985734.5812,-24.47596,70.6073,-6.923584520941132e-06,1.6448069908865357e-05,337.1720229436862,1.7845868607202555e-05,0.2840000092983246,-0.414000004529953
43,2011-06-16,2011_1291,743384.43963,-1985733.46002,-24.47598,70.60731,0.0005063409783351582,-0.002848984509948459,169.92223184170666,0.002893629887229475,1.406999945640564,-0.32499998807907104
44,2011-06-17,2011_1291,743511.71161,-1985948.64983,-24.47479,70.6051,-0.0007960291237342386,0.003074575964381957,345.4844603590294,0.0031759533571178813,0.6790000200271606,0.4090000092983246
