,date,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
0,2008-04-01 12:00:00,2008_0001,748115.01317,-1987342.59862,-24.37166,70.57809,0.00023480020709226883,-0.00017250067873251563,126.30361029517661,0.0002913548033133329,-1.5049999952316284,-1.0089999437332153
1,2008-04-02 12:00:00,2008_0001,748139.25,-1987349.4,-24.37112,70.57796,-0.00011223933868984582,8.395542395209005e-05,306.7966190945706,0.00014016483995820455,-1.8830000162124634,-0.5680000185966492
2,2008-04-03 12:00:00,2008_0001,748127.61871,-1987346.0279,-24.37137,70.57802,9.965536691921876e-05,-7.30340859765006e-05,126.23644245786642,0.0001235522960945162,-0.4020000100135803,-1.1380000114440918
3,2008-04-04 12:00:00,2008_0001,748137.9,-1987348.9,-24.37114,70.57797,-5.3219091765871154e-05,-9.277601114547893e-05,209.83987032850212,0.00010695634610648517,-2.6410000324249268,0.08399999886751175
4,2008-04-05 12:00:00,2008_0001,748136.42078,-1987358.02187,-24.37126,70.5779,0.0019289529585938122,0.011780695879850757,9.299005444615432,0.011937573242916687,-3.260999917984009,0.19200000166893005
5,2008-04-06 12:00:00,2008_0001,747933.79595,-1986346.7147,-24.36677,70.58703,-0.007604658952445482,-0.004621808203033692,238.7104356832283,0.008898985832590068,-1.2289999723434448,0.1770000010728836
7,2008-04-01 12:00:00,2008_0002,782909.22129,-1539911.9072,-18.04979,74.15063,-0.051948723253856376,-0.12629386067771714,202.3589403190641,0.13656064254604394,0.35600000619888306,-4.164999961853027
8,2008-04-02 12:00:00,2008_0002,783853.5,-1551672.9,-18.19861,74.05174,-0.035637491620586284,-0.14188355798292732,194.09954613517914,0.14629072026243514,-0.06199999898672104,-3.4709999561309814
10,2008-04-01 12:00:00,2008_0003,757853.94836,-1697208.31374,-20.93782,72.96316,-0.0016865804160761367,-0.010167455845258293,189.41847770009764,0.010306391796607025,0.3869999945163727,-1.2970000505447388
11,2008-04-02 12:00:00,2008_0003,758079.06636,-1698069.86044,-20.94231,72.95522,-0.0018714668249241203,-0.01148370025763792,189.255965921251,0.01163519487091062,0.11299999803304672,-0.6050000190734863
12,2008-04-03 12:00:00,2008_0003,758335.89036,-1699041.78173,-20.94729,72.94626,0.00021647846880834662,0.0024228574364654272,5.1057292379928185,0.002432509215787975,0.16699999570846558,-1.7029999494552612
13,2008-04-04 12:00:00,2008_0003,758267.65,-1698843.0,-20.94671,72.94815,0.001339990323264566,0.006229527423106045,12.139523287996894,0.006372015849138554,0.25999999046325684,-0.4129999876022339
15,2008-04-01 12:00:00,2008_0011,753977.03232,-753013.25112,0.03663,80.18621,-0.02400612208598152,-0.21169507936634804,186.46967665078137,0.21305187285149935,0.21299999952316284,-4.689000129699707
16,2008-04-02 12:00:00,2008_0011,765452.91333,-767405.85008,-0.07291,80.01855,0.010018612858541956,-0.18117997284913467,176.83496894917198,0.18145675838949213,0.34200000762939453,-3.753000020980835
17,2008-04-03 12:00:00,2008_0011,777120.67256,-777877.66042,-0.02794,79.87511,-0.09842780810609991,-0.249846649502392,201.50210340520124,0.268535624594098,-1.75600004196167,-4.796999931335449
18,2008-04-04 12:00:00,2008_0011,786361.1,-799159.65,-0.46242,79.67706,-0.05756998849679219,-0.21327641096449407,195.10590870228418,0.22090978033898034,-1.4709999561309814,-5.466000080108643
