datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind
2020-05-01 00:00:00,2019V4,14.80475,84.1085,0.013439419739526766,-0.017195584342319464,0.021824438682564187,-3947.83230863223,3.2139999866485596,0.652999997138977
2020-05-01 01:00:00,2019V4,14.80834,84.10804,0.010978578641151851,-0.009804411845986448,0.014719228261891825,-3947.1240253913275,3.059999942779541,1.4049999713897705
2020-05-01 02:00:00,2019V4,14.81184,84.10785,0.011613995567798584,-0.0039217115087361925,0.01225825086244359,-3945.9943742141663,3.1470000743865967,2.000999927520752
2020-05-01 03:00:00,2019V4,14.81584,84.10778,0.016414155922701984,0.0037712973841940913,0.016841828838187432,-3944.531454766796,3.132999897003174,2.4059998989105225
2020-05-01 04:00:00,2019V4,14.82244,84.1081,0.022405949144188576,0.01297222750146089,0.025890253830382255,-3941.9021573194327,3.0460000038146973,2.638000011444092
2020-05-01 05:00:00,2019V4,14.83031,84.10864,0.025376499058768244,0.020815634963687223,0.03282159903815084,-3939.091799128534,2.750999927520752,2.8320000171661377
2020-05-01 06:00:00,2019V4,14.83883,84.10948,0.024599525206320052,0.02775372275283272,0.03708646339323123,-3937.8507246379127,2.48799991607666,3.2829999923706055
2020-05-01 07:00:00,2019V4,14.8462,84.11048,0.021469082136236106,0.029111315613658977,0.036171676551281354,-3937.6969723988796,2.303999900817871,3.9010000228881836
2020-05-01 08:00:00,2019V4,14.8527,84.11141,0.015972202787245655,0.024736823298889193,0.029445232021455783,-3937.7586203383144,2.131999969482422,4.671999931335449
2020-05-01 09:00:00,2019V4,14.85652,84.11212,0.005880920449867067,0.017345997863043753,0.018315809215057443,-3938.959624890264,2.1080000400543213,5.198999881744385
2020-05-01 10:00:00,2019V4,14.8565,84.11256,-0.008432364223082058,0.011463965320057327,0.014231207512020594,-3940.604999333127,1.2109999656677246,5.730000019073486
2020-05-01 11:00:00,2019V4,14.85107,84.11288,-0.023888696350590422,0.009805318151504741,0.025822743413180183,-3942.4052392024882,0.6859999895095825,5.281000137329102
2020-05-01 12:00:00,2019V4,14.84106,84.11321,-0.03581594196680248,0.009805338840532887,0.0371338978394004,-3943.9932132284252,-0.08699999749660492,4.828999996185303
2020-05-01 13:00:00,2019V4,14.82792,84.11353,-0.04444619734136507,0.011011997719290234,0.04579004861186785,-3945.5747387365554,-0.9959999918937683,4.980999946594238
2020-05-01 14:00:00,2019V4,14.81233,84.11394,-0.047166523097878346,0.011764941226034945,0.04861167291088374,-3949.890340471504,-1.6579999923706055,5.330999851226807
2020-05-01 15:00:00,2019V4,14.79743,84.11431,-0.04024961238259061,0.00950135157156717,0.04135585785152224,-3960.3006464841337,-1.7630000114440918,5.980999946594238
2020-05-01 16:00:00,2019V4,14.78631,84.11457,-0.026095012693212256,0.0027138280574363315,0.026235749468697046,-3968.061513563096,-1.1799999475479126,6.510000228881836
2020-05-01 17:00:00,2019V4,14.78056,84.11449,-0.012885054406816917,-0.008899691055112405,0.015659793355695336,-3971.510634398157,-0.3190000057220459,6.2220001220703125
2020-05-01 18:00:00,2019V4,14.77798,84.11398,-0.006249633634556365,-0.022323825828632148,0.02318212932828393,-3971.7684627679246,0.18799999356269836,5.519000053405762
2020-05-01 19:00:00,2019V4,14.77652,84.11301,-0.007210558681451422,-0.03318388999658507,0.03395824953975268,-3971.977455277152,0.3779999911785126,4.7230000495910645
2020-05-01 20:00:00,2019V4,14.77332,84.11178,-0.013371426442504341,-0.03921723200807502,0.04143412037780563,-3973.748090888331,0.32600000500679016,3.941999912261963
2020-05-01 21:00:00,2019V4,14.76788,84.11041,-0.020339796425609152,-0.04087633899311324,0.04565722733713835,-3977.354320099869,0.19599999487400055,3.253000020980835
2020-05-01 22:00:00,2019V4,14.76018,84.10907,-0.02695523091827318,-0.039971293214526235,0.04821087797477931,-3984.773894277324,-1.1890000104904175,4.818999767303467
2020-05-01 23:00:00,2019V4,14.75047,84.10776,-0.032070691304435746,-0.036200521408209785,0.04836328143303208,-3992.987653219988,-1.1720000505447388,4.2870001792907715
2020-05-02 00:00:00,2019V4,14.73947,84.10667,-0.03398198947109498,-0.03333503189187601,0.04760252051778352,-4001.0883552021396,-0.8859999775886536,3.759000062942505
2020-05-02 01:00:00,2019V4,14.72853,84.10555,-0.032686871899424944,-0.03378778033950357,0.047011123096985886,-4007.7650132113263,-0.7900000214576721,3.306999921798706
2020-05-02 02:00:00,2019V4,14.71837,84.10443,-0.027703507754189866,-0.03469320619454282,0.04439710461216499,-4012.3272341359743,-0.6539999842643738,2.5850000381469727
2020-05-02 03:00:00,2019V4,14.71065,84.10325,-0.021727155570143247,-0.03559794579449481,0.04170471237110978,-4013.7915286456964,-0.6119999885559082,1.815999984741211
2020-05-02 04:00:00,2019V4,14.70435,84.10207,-0.014042726223277653,-0.039972447022720396,0.04236737755356258,-4014.682222650313,-0.3610000014305115,1.2079999446868896
2020-05-02 05:00:00,2019V4,14.70159,84.1006,-0.0035647844027154353,-0.04630735606648907,0.04644436363765194,-4014.5198822174602,0.09399999678134918,0.5609999895095825
2020-05-02 06:00:00,2019V4,14.70205,84.099,0.004405347046482575,-0.049474846647685956,0.049670590226128734,-4013.047392723218,0.675000011920929,-0.36399999260902405
2020-05-02 07:00:00,2019V4,14.70443,84.09732,0.009044723091990212,-0.05173748336640209,0.05252213058225565,-4011.062513062316,0.949999988079071,-1.4630000591278076
2020-05-02 08:00:00,2019V4,14.70788,84.09557,0.010707266776304033,-0.05264267589105766,0.053720544364236365,-4010.5968138270073,1.0609999895095825,-2.242000102996826
