datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind
2020-05-01 00:00:00,2019P144,14.60321,84.02532,0.0194235678328443,-0.02398521427304736,0.030863659716260133,-4029.090866008454,3.128000020980835,0.6470000147819519
2020-05-01 01:00:00,2019P144,14.60818,84.02459,0.013254208022483779,-0.0181019217217012,0.022435543236611656,-4029.102327056163,2.9649999141693115,1.4210000038146973
2020-05-01 02:00:00,2019P144,14.61165,84.02412,0.010412730991427366,-0.00980514570104072,0.014302651814208065,-4028.9392305658976,3.059999942779541,2.0290000438690186
2020-05-01 03:00:00,2019P144,14.61481,84.02394,0.012172240417992438,-0.0021117199654935165,0.012354059980673264,-4028.823174047105,3.055000066757202,2.434000015258789
2020-05-01 04:00:00,2019P144,14.6194,84.02398,0.017370685588315317,0.004978268414299808,0.01806997161627324,-4028.734021392015,2.9670000076293945,2.6679999828338623
2020-05-01 05:00:00,2019P144,14.62587,84.02427,0.02211274085253428,0.012671447226539538,0.025486052711754227,-4028.5609611827113,2.750999927520752,2.8320000171661377
2020-05-01 06:00:00,2019P144,14.63348,84.02482,0.024591872381195153,0.020967948154253555,0.03231741074115397,-4028.2134425430436,2.48799991607666,3.2829999923706055
2020-05-01 07:00:00,2019P144,14.64153,84.02566,0.024353317094942935,0.02820840655382656,0.037266583608278406,-4027.510998690552,2.303999900817871,3.9010000228881836
2020-05-01 08:00:00,2019P144,14.64899,84.02669,0.021398396785383016,0.02986759315868163,0.03674186312746287,-4026.5077585695917,2.131999969482422,4.671999931335449
2020-05-01 09:00:00,2019P144,14.65516,84.02764,0.01566607871927489,0.024889520334738974,0.029409424423675865,-4026.0019173577775,2.1080000400543213,5.198999881744385
2020-05-01 10:00:00,2019P144,14.65897,84.02834,0.00565084961719199,0.017045562796949396,0.017957820370547873,-4025.9787133664904,1.2109999656677246,5.730000019073486
2020-05-01 11:00:00,2019P144,14.65876,84.02877,-0.009039072760487193,0.011615669037259146,0.014718308447390359,-4026.0179083171006,0.6859999895095825,5.281000137329102
2020-05-01 12:00:00,2019P144,14.65321,84.02911,-0.02444894656308473,0.010107726473107061,0.026455946826748084,-4026.1027215030726,-0.08699999749660492,4.828999996185303
2020-05-01 13:00:00,2019P144,14.64318,84.02944,-0.03695413764121129,0.00980619851523963,0.038233098463580965,-4026.2258462569666,-0.9959999918937683,4.980999946594238
2020-05-01 14:00:00,2019P144,14.62966,84.02976,-0.04573894285502793,0.010710995415341047,0.04697633783388151,-4027.0681610305787,-1.6579999923706055,5.330999851226807
2020-05-01 15:00:00,2019P144,14.61403,84.03015,-0.04727426832519297,0.011313072564169618,0.04860907380854433,-4028.465954925848,-1.75,5.974999904632568
2020-05-01 16:00:00,2019P144,14.59953,84.03051,-0.03916072654656925,0.008596906650889743,0.04009325763291486,-4029.5251953098436,-1.1690000295639038,6.478000164031982
2020-05-01 17:00:00,2019P144,14.58907,84.03072,-0.024835635765958444,0.0018090623926715118,0.02490143591522249,-4029.9350880808975,-0.33500000834465027,6.196000099182129
2020-05-01 18:00:00,2019P144,14.5837,84.03063,-0.011327414844136127,-0.00935287137422501,0.014689674264392424,-4030.0588666154704,0.1550000011920929,5.513000011444092
2020-05-01 19:00:00,2019P144,14.58185,84.0301,-0.004707084863940548,-0.0227779593709451,0.02325923646684826,-4029.8833257805154,0.3440000116825104,4.702000141143799
2020-05-01 20:00:00,2019P144,14.5807,84.02912,-0.005571426482868548,-0.033940591000482266,0.034394832613577675,-4029.490876367941,0.28999999165534973,3.9030001163482666
2020-05-01 21:00:00,2019P144,14.5783,84.02785,-0.01119220725770623,-0.039823511345796495,0.04136638199321079,-4029.971941901818,0.16200000047683716,3.2170000076293945
2020-05-01 22:00:00,2019P144,14.57357,84.02648,-0.01863637652163315,-0.04118102162260191,0.04520167111664441,-4030.7060239601115,-1.184999942779541,4.74399995803833
2020-05-01 23:00:00,2019P144,14.56643,84.02512,-0.02564392468571871,-0.03952167569120063,0.047112352124758665,-4031.471060693908,-1.1670000553131104,4.215000152587891
2020-05-02 00:00:00,2019P144,14.55724,84.02386,-0.030957894385984244,-0.03680655469151025,0.048094840607625367,-4032.142797607099,-0.878000020980835,3.6700000762939453
2020-05-02 01:00:00,2019P144,14.54672,84.02268,-0.03325728486156049,-0.03469504018342545,0.04806030388680961,-4032.904376683023,-0.7860000133514404,3.1710000038146973
2020-05-02 02:00:00,2019P144,14.53607,84.02156,-0.031409275961279334,-0.03439377591475617,0.046577617350893566,-4033.410892592145,-0.6499999761581421,2.4079999923706055
2020-05-02 03:00:00,2019P144,14.52673,84.0204,-0.02676338086167619,-0.03544977641801879,0.0444180729347262,-4034.401577548605,-0.6079999804496765,1.5989999771118164
2020-05-02 04:00:00,2019P144,14.51904,84.01921,-0.020764033802559118,-0.037410854669721376,0.04278688054617714,-4035.6673673142736,-0.34700000286102295,0.9819999933242798
2020-05-02 05:00:00,2019P144,14.51352,84.01792,-0.012372423235761529,-0.04163461415930683,0.04343406443011251,-4036.7963456246903,0.1120000034570694,0.3059999942779541
2020-05-02 06:00:00,2019P144,14.51117,84.01645,-0.002278992336935865,-0.04646155757429046,0.0465174175798799,-4037.6963190492256,0.6710000038146973,-0.6259999871253967
2020-05-02 07:00:00,2019P144,14.51207,84.01484,0.0060098964265689996,-0.049629284472080926,0.049991846657918323,-4037.4538510663974,0.9459999799728394,-1.6959999799728394
2020-05-02 08:00:00,2019P144,14.51499,84.01316,0.010574203908149511,-0.051590424575150694,0.05266294424104521,-4036.38065841028,1.0820000171661377,-2.434000015258789
