buoy,NB,YP,GC,GS
2019F2,0.051636841927305444,0.8727159473295895,0.44966491159537536,
2019O1,0.07140148635369115,,,
2019O3,0.0426647117112543,0.8703383694350167,0.3050661332954814,
2019O4,0.05386825692813657,,,
2019O5,0.049563490872156946,0.8188719648789933,,
2019O6,0.05783068506694666,0.8666525003996812,,
2019P102,0.051265549977182134,0.8852775790224414,0.5839937778316291,
2019P103,0.06086124188026254,0.8861443087821395,,0.4259225375518848
2019P105,0.06393541609575848,0.859787291802962,0.4845525524677823,
2019P123,0.07300735695816696,,,
2019P124,0.05017706890237472,0.8359656305593347,,0.1911828076939469
2019P125,0.04734764064117458,,,0.5581063599746908
2019P127,,0.6922813833264572,,
2019P128,,0.5658993608625195,,
2019P137,0.057115607291529424,0.8222388655110879,,
2019P138,,0.8911984870075287,,
2019P139,0.05513975941009397,0.8611106086287917,0.3678274897225091,
2019P140,0.052717842251507,,,0.5515677193800612
2019P142,0.07182492007509489,,0.36775533359354906,
2019P144,0.04866437510193555,0.8296204557576583,0.43301032437475373,0.3548565182913227
2019P146,,,,0.4269591786049587
2019P148,0.061266929244142454,0.8579614778560897,,0.37262941426271246
2019P151,,0.8731346983956688,0.2733798900242035,0.26100057192794357
2019P152,,0.5916416334743715,,0.14241094947349708
2019P155,0.05571587771565911,0.8787223158659163,,
2019P157,0.11117826547704812,,,
2019P158,,0.8665879958251319,,0.26824792128945596
2019P159,,,0.37022620872700507,
2019P182,,,0.40089620356715117,
2019P184,,0.6010772915811055,,
2019P191,0.07489687082123164,,0.5040689561782066,
2019P192,0.07416379224824055,0.7332668105804483,,
2019P194,0.07017962001402411,,0.29936010838351446,
2019P195,0.05210332164732134,0.8758435218460957,0.46225492940691226,
2019P196,0.052377339747696094,,,
2019P197,0.06554658669114732,,,
2019P198,0.05258536944612957,0.8572886929297934,,0.4513569058555462
2019P199,0.0533387534178168,0.8597416468192375,0.386953400325747,
2019P200,0.052823958439725094,0.8673956001819596,0.3848010123412684,
2019P201,0.05265041436548312,0.8773811856818315,0.3534878893044342,
2019P202,0.06338267071427939,,,0.30271756044674913
2019P203,0.05178297350150529,,,
2019P204,0.05575750505909749,0.8658186254562951,,
2019P205,0.06487216430494025,0.8466313555757735,0.3598748325813619,
2019P206,0.05259689574368931,0.8695944059733021,,0.5223289768024502
2019P209,0.06746677016309066,0.812183101172937,0.38939974744529515,
2019P90,0.04852951771927161,,,
2019P92,0.07357483639324003,0.7244239881584102,,
2019R8,0.06766349701520136,,,
2019R9,0.052004069965951194,,,
2019S81,0.04251372073023574,0.8703438453182588,0.305035879179538,
2019S86,0.058062089709244535,0.8666940264845434,,
2019S93,0.05159832736386927,0.872908224052162,0.4494429433804936,
2019S94,0.052357517048859714,0.8679918514290375,,
2019S96,0.059527667963885644,0.872694051579613,0.30172416251971623,
2019T56,0.05531474266879122,,,
2019T58,0.05373436633505113,0.8711950051480928,,
2019T59,0.04276226873803379,0.8714741438496436,,
2019T62,0.05956793786230019,0.8727712532020843,0.3020267926347203,
2019T63,,0.8739476258500501,0.4432347415873583,
2019T64,0.057742173937127106,0.8666776219221395,,
2019T65,0.05199985545777941,0.874011754560488,0.4465066129550245,
2019T66,0.057962154432222746,0.8759243334573817,0.4417943713761828,
2019T67,0.06737003579786571,,,
2019T68,0.07131994632031258,,,
2019T69,0.060842011583357336,0.8606356874377972,0.3332035297994439,0.3028072237658921
2019T70,0.052332118148452844,0.8681390097448497,,
2019V2,,0.887546465064623,0.48307101730659396,
2019V3,0.0426270875792778,,0.2587514801708316,
2019V4,,0.818754287352018,,
2020E1,0.05762461445386069,0.8768555233443253,0.3897164100025817,
2020E2,0.05583494915168541,,,
2020E3,0.05883483919580135,0.8728625595649887,0.2946092662433406,
2020M26,,,0.4338626593794995,
2020M29,0.05945544748236853,0.8727678509831058,,
2020P160,0.04778229501153086,,0.2677792632009567,0.33883475882976566
2020P185,0.062479373539928384,0.8660810634324082,,0.4881241683485632
2020P186,0.051561654843043536,0.8944112451223356,0.3255759267680761,
2020P210,0.054378336793631465,,0.5218858370127624,
2020P211,0.04599900374604249,0.8009295773265468,,
2020P213,0.04090247037030037,0.9034223247643183,0.5972397875110841,
2020P214,0.07125677506033379,0.7939025616149729,,
2020P215,0.05300451560558439,0.8664654695761599,,
2020P216,0.0561800086585158,,0.4074912701011639,
2020P217,0.05094563211919456,0.8875204670404079,0.6524221542780222,
2020P218,0.05045780732045724,0.8968626016861148,0.3230277280160936,
2020P219,0.05216591983204388,0.865841054327408,,0.4769695553171428
2020P220,0.053468270120993644,0.8484760074826887,,
2020P225,0.056201667557384316,0.8740432221186426,0.32648509737538123,0.08708068578315786
2020P226,0.0576579147487255,0.8739346901986091,0.32786718298798756,
2020P227,0.05654862203430289,0.8671697788528571,0.42651771367085745,
2020P228,0.153991591685953,0.8742157739308494,0.3832113948314818,
2020R10,0.057270939278725064,0.8765855093762012,,
2020R11,0.05965098351334486,0.8729124377439538,0.3021815105586203,
2020R12,0.05225674168225947,0.8681894448097847,,
2020S97,0.05745934657942109,0.8768614524709987,,
2020S99,0.06764945422225721,,,
2020T61,0.058031346662731687,0.876699454861066,,
2020T73,0.054317650762708336,0.8940705536950783,0.3700425972965339,
2020T74,0.05501988064850405,0.8614490636287385,0.3606832038012948,
2020T75,0.05808979680782922,0.876290445484748,0.4563074140271661,
2020T76,0.053982173509440345,0.8835206318838348,,
2020T77,0.06110744859287398,,,
2020T79,0.05742498492610104,0.8736108692316301,,
ASFS30UCB3,,,0.4502135492578352,
