datetime,buoy,longitude,latitude,u,v,speed,depth,sea_ice_concentration
2020-08-20,2019P112,6.6557949999999995,82.8399,-0.0771617362645376,0.08276308987511304,0.11315327034175413,-3975.258862020408,75.0
2020-08-21,2019P112,6.1593800000000005,82.9054,-0.032700714583135324,0.009120630559568263,0.03394882378009303,-4004.379309349884,61.0
2020-08-22,2019P112,5.94879,82.9126,,,,-3997.1254479137065,66.0
2020-08-23,2019P112,,,,,,,
2020-08-24,2019P112,6.2765,82.8294,0.006611015467717311,0.0012609395089695644,0.006730192713413037,-3997.3939002038164,89.0
2020-08-25,2019P112,6.318585000000001,82.8304,0.017019409567646478,-0.018610047563879645,0.025218924885116716,-3992.333818302341,92.0
2020-08-26,2019P112,6.426705,82.8156,0.05192238973199934,-0.0041296232240089735,0.05208635467619043,-3930.367853888191,90.0
2020-08-27,2019P112,6.7564,82.8122,-0.020099452731367914,-0.03697920642772428,0.04208859356315839,-3596.3296625806934,92.0
2020-08-28,2019P112,6.629295,82.7828,-0.1492615162882574,-0.10602016992095417,0.18308270446641792,-3685.3356872402705,97.0
2020-08-29,2019P112,5.696395,82.6976,,,,-3630.312250395496,57.0
2020-08-30,2019P112,,,,,,,
2020-08-31,2019P112,,,,,,,
2020-09-01,2019P112,,,,,,,
2020-09-02,2019P112,,,,,,,
2020-09-03,2019P112,,,,,,,
2020-09-04,2019P112,,,,,,,
2020-09-05,2019P112,3.8256,82.7216,0.004385282171067768,-0.09666768614316124,0.09676710310840463,-3769.9993642706104,70.0
2020-09-06,2019P112,3.85281,82.6448,-0.01661286973817417,-0.015719678063586495,0.022871285914008978,-3710.1216969236866,87.0
2020-09-07,2019P112,3.749905,82.6323,,,,-3695.94576924721,96.0
2020-09-08,2019P112,,,,,,,
2020-09-09,2019P112,3.594215,82.65690000000001,-0.09315917779461463,0.06076604793195528,0.11122564896927914,-3699.6790270149677,88.0
2020-09-10,2019P112,3.0114,82.7048,-0.09109529469465873,0.17616038370892426,0.19832002799511234,-3688.2522673043472,64.0
2020-09-11,2019P112,2.43035,82.8444,-0.09073229821899507,-0.04132655790719183,0.09970072381160096,-3741.4431160602744,75.0
2020-09-12,2019P112,1.854295,82.8112,-0.030251293580953714,-0.24023583230032422,0.24213301279327973,-3505.145179554442,70.0
2020-09-13,2019P112,1.6672150000000001,82.620295,0.08410877126369193,-0.2662719533921167,0.27924010916546643,-3571.7943353731484,93.0
2020-09-14,2019P112,2.172815,82.408495,0.061185501206843906,-0.052177532431694484,0.08041243963836209,-3431.117402857333,98.0
2020-09-15,2019P112,2.538605,82.3669,0.02412458033951767,0.10453475044668456,0.10728238171996583,-3211.6335967286104,99.0
2020-09-16,2019P112,2.6844200000000003,82.4499,0.008449370104119558,0.16505037985504117,0.16526651126422973,-3533.7153800014844,99.0
2020-09-17,2019P112,2.736395,82.581,-0.02927203561762462,0.07431591362756798,0.07987306859949497,-3625.654575758715,94.0
2020-09-18,2019P112,2.554885,82.64,-0.03041638029386319,-0.10027843085147711,0.10478988445558753,-3633.4245799014884,95.0
2020-09-19,2019P112,2.368305,82.56030000000001,-0.00039722893392268865,-0.16253217959336924,0.16253266500675234,-3608.3945494882482,93.0
2020-09-20,2019P112,2.36591,82.43119999999999,-0.0773589189198786,-0.0510573448077559,0.09268902197817404,-3470.112026104533,98.0
2020-09-21,2019P112,1.9019949999999999,82.3904,-0.14284274030411853,-0.08154825079020211,0.16448150553947258,-3397.315905295384,99.0
2020-09-22,2019P112,1.0527,82.324795,-0.11166081577148507,-0.39181557095759756,0.407415732911214,-3501.384531261369,93.0
2020-09-23,2019P112,0.41479,82.013195,-0.13270801938818544,-0.5454937660726694,0.5614043705156554,-2988.4698341122703,91.0
2020-09-24,2019P112,-0.3042,81.579595,-0.0311013710580883,-0.4177026482051832,0.41885892326571716,-1691.8956609705863,94.0
2020-09-25,2019P112,-0.466295,81.2482,0.04528217563496313,-0.1365918956833676,0.1439021243644847,-2704.483742843344,94.0
2020-09-26,2019P112,-0.23319,81.13980000000001,0.06910511082399971,-0.10887114230101073,0.12895131627061512,-2720.9948109059624,92.0
2020-09-27,2019P112,0.1191,81.05330000000001,-0.010423277256403352,-0.15576033087629004,0.15610869733443813,-2621.7899624573033,98.0
2020-09-28,2019P112,0.06669,80.9298,-0.010613492595730911,-0.145188683285158,0.14557609686743753,-2694.576770263176,98.0
2020-09-29,2019P112,0.013994999999999999,80.8147,-0.19767863834698493,-0.3073630172276368,0.3654433860640997,-3048.067629065714,97.0
2020-09-30,2019P112,-0.94191,80.569795,-0.027656933757460173,-0.14737240142392494,0.14994509223818903,-2549.706660358447,99.0
2020-10-01,2019P112,-1.074,80.453,,,,-2577.8976514131004,95.0
