datetime,buoy,longitude,latitude,u,v,speed,depth,sea_ice_concentration
2020-05-01,2020R12,16.491265,83.807825,-0.008734546262575063,-0.021237496029157196,0.022963526210090898,-3997.978258960994,98.0
2020-05-02,2020R12,16.427039999999998,83.79093,0.04715237402245905,-0.024608505892032395,0.05318763896049592,-4001.4520354893093,98.0
2020-05-03,2020R12,16.772655,83.771245,0.04899257703554306,0.027520031484840293,0.056192746306887524,-4000.1263764449445,98.0
2020-05-04,2020R12,17.133020000000002,83.79301000000001,-0.02651957924982238,0.01841465349119296,0.032286027113726995,-4029.524133488756,99.0
2020-05-05,2020R12,16.937495,83.80762,-0.057204298330935155,-0.017832441574274327,0.05991934345463523,-4009.236109519312,97.0
2020-05-06,2020R12,16.51671,83.79327,-0.13210038264955293,0.012481771644315583,0.1326887550606273,-3998.5936107620378,99.0
2020-05-07,2020R12,15.543545,83.80230499999999,-0.18954133390339034,-0.10774182871256226,0.21802343661222207,-3853.7069707741853,98.0
2020-05-08,2020R12,14.16663,83.714805,-0.16648799925346688,-0.10422632096856942,0.1964214343651569,-4016.379924982165,98.0
2020-05-09,2020R12,12.973244999999999,83.63054,-0.06876342476321064,-0.13841390795457031,0.15455361044123814,-4008.542186182765,99.0
2020-05-10,2020R12,12.488785,83.52024499999999,-0.04676579368670969,-0.20503801016457596,0.21030364968634435,-3939.1342531017717,98.0
2020-05-11,2020R12,12.167415,83.35712,-0.05200722824507067,-0.10613807371686593,0.11819493424873057,-3854.749973208303,99.0
2020-05-12,2020R12,11.814525,83.272615,-0.3058512043205712,-0.09033625422422861,0.3189131512051647,-3802.3657786253684,98.0
2020-05-13,2020R12,9.76206,83.19645,-0.09959638085456293,0.013721846452454972,0.1005371978393664,-4029.4275034311513,98.0
2020-05-14,2020R12,9.0928,83.206895,-0.08179953717295006,0.003631938095306715,0.08188012735723472,-4020.222171721988,99.0
2020-05-15,2020R12,8.542925,83.20947000000001,-0.02423240203100996,0.0009024861433370515,0.02424920183081107,-4030.8957042424718,98.0
2020-05-16,2020R12,8.380015,83.21016,-0.003706300812759535,-0.014302993964038722,0.014775395157151977,-4033.4801898115193,97.0
2020-05-17,2020R12,8.35514,83.19879,-0.026889943127753606,-0.04505301106138768,0.05246754089064346,-4031.7953093814826,99.0
2020-05-18,2020R12,8.175615,83.16294500000001,0.02302027154148262,-0.07288993312956427,0.07643870258891071,-4046.71809897682,99.0
2020-05-19,2020R12,8.328009999999999,83.104985,0.04291020650531999,-0.021515476726496178,0.048002099548848945,-4035.4331470451757,99.0
2020-05-20,2020R12,8.61137,83.0878,0.046206803925612314,0.04131565967108583,0.061984292067240467,-4007.324305008123,99.0
2020-05-21,2020R12,8.917955,83.12054,-0.0185540527347386,0.034825846714220475,0.03946001105227724,-4024.296155876314,98.0
2020-05-22,2020R12,8.79435,83.148205,-0.03363886942796145,-0.023939184837560756,0.041287505459622266,-4027.769656411246,99.0
2020-05-23,2020R12,8.570875000000001,83.129125,-0.039901326785580636,-0.010136402129548538,0.04116870810921337,-4044.5786218301723,99.0
2020-05-24,2020R12,8.30611,83.120995,-0.041573184526227686,0.014203856391266267,0.04393266675306079,-4030.7715282942618,99.0
2020-05-25,2020R12,8.0298,83.132205,0.0033487086382483766,0.06854748915476913,0.0686292366194399,-4029.7927515077167,99.0
2020-05-26,2020R12,8.052235,83.18669,-0.020928729114952555,0.05853014204044797,0.06215938569228365,-4018.5940279819365,100.0
2020-05-27,2020R12,7.911055,83.233195,-0.013371237185142321,-0.01356960872755264,0.01905057124813336,-4029.0097558503203,100.0
2020-05-28,2020R12,7.821,83.2224,-0.03353629431930406,-0.04943783847802438,0.059739291174655006,-4016.051051849241,100.0
2020-05-29,2020R12,7.596439999999999,83.18305000000001,-0.007550144653722297,-0.05293682593423708,0.0534725371034875,-3998.1070441591137,100.0
2020-05-30,2020R12,7.546195,83.14097000000001,0.022304262866435887,-0.0076015926990888865,0.023564047903064368,-4020.067745667195,100.0
2020-05-31,2020R12,7.694495,83.134905,-0.018682046104410304,-0.021261033493563012,0.02830283363661173,-4025.1190410974154,100.0
2020-06-01,2020R12,7.570585,83.11798999999999,-0.04069182628238112,-0.061221733413638124,0.0735113961802254,-4029.5591194466347,100.0
2020-06-02,2020R12,7.302595,83.069255,-0.05485753126684952,-0.1115121788733979,0.12427515750859486,-4040.9264083111752,100.0
2020-06-03,2020R12,6.94589,82.980495,0.03588784929979514,-0.14387521777871093,0.14828356624466618,-4003.61072807969,100.0
2020-06-04,2020R12,7.175495,82.866105,0.060206742688586314,-0.14655303922071658,0.15843814304011056,-3932.5814745218404,99.0
2020-06-05,2020R12,7.55448,82.7495,0.08411602620675235,-0.022896984054748215,0.08717670413372165,-3717.3498769497464,99.0
2020-06-06,2020R12,8.082619999999999,82.731,0.040090965376242134,-0.007231037201500066,0.04073786204268118,-3280.9136136438556,99.0
2020-06-07,2020R12,8.334135,82.72518500000001,-0.09896825885945595,-0.04132966759923254,0.10725137614751307,-2897.8851752646733,99.0
2020-06-08,2020R12,7.71607,82.691925,-0.09944512473366326,-0.04628189148696858,0.1096874938764916,-3620.643668469698,100.0
2020-06-09,2020R12,7.09818,82.65473,-0.05111478629103876,-0.08309084280529325,0.09755413643548139,-3628.686055806627,100.0
2020-06-10,2020R12,6.78343,82.58861,0.06771286571301749,-0.01076247777384456,0.06856284059825438,-3471.900067362595,99.0
2020-06-11,2020R12,7.199895,82.579865,0.017454019650519296,-0.02864801564206874,0.03354626062900199,-3107.70770954629,100.0
