datetime,buoy,longitude,latitude,u,v,speed,depth,sea_ice_concentration
2020-05-01 12:00:00,2019S81,16.4738,84.18039,0.0035238909418234526,-0.02087490506438959,0.02117024961631637,-3987.6772361717913,98.0
2020-05-02 12:00:00,2019S81,16.3354,84.1588,0.014579538855041992,-0.0298447550299074,0.033215543891691166,-3992.8961296970033,98.0
2020-05-03 12:00:00,2019S81,16.6996,84.1328,0.04111264201937685,-0.015239799055310655,0.04384633176287018,-4004.510751436332,98.0
2020-05-04 12:00:00,2019S81,16.977,84.1346,0.0019248107686676186,0.008287072446973104,0.008507671023056758,-4014.8253033071724,98.0
2020-05-05 12:00:00,2019S81,16.729,84.146,-0.04609526250044116,-0.005190200657834676,0.04638654339194897,-4007.6905627174137,99.0
2020-05-06 12:00:00,2019S81,16.26,84.1262,-0.0943651858272398,-0.005845816889007656,0.09454608332082988,-3999.5124237682517,99.0
2020-05-07 12:00:00,2019S81,15.2586,84.136,-0.16344913180667325,-0.047643450422554356,0.1702513349625243,-3972.9245560038657,97.0
2020-05-08 12:00:00,2019S81,13.7386,84.0492,-0.17949987384433336,-0.10914284576280568,0.21007704655991138,-3960.837550454644,97.0
2020-05-09 12:00:00,2019S81,12.4996,83.963,-0.1124588163143273,-0.12457158956355135,0.16782451040658367,-3874.678749054052,99.0
2020-05-10 12:00:00,2019S81,12.0284,83.8522,-0.05469820524296015,-0.17318684435955842,0.1816193181245401,-3424.7463949561225,98.0
2020-05-11 12:00:00,2019S81,11.6878,83.6876,-0.05788404850819177,-0.1540729801799386,0.16458750345401818,-3996.9775517878716,99.0
2020-05-12 12:00:00,2019S81,11.1886,83.607,-0.18025833235061314,-0.09977375146633882,0.20602880348021937,-3993.5989319921646,99.0
2020-05-13 12:00:00,2019S81,9.133,83.525,-0.19107503103193926,-0.04078868216700582,0.19538010153743285,-3818.8216256996448,99.0
2020-05-14 12:00:00,2019S81,8.4656,83.5458,-0.08814618318259225,0.012883557377358294,0.08908274614286872,-3810.022585874599,99.0
2020-05-15 12:00:00,2019S81,7.8882,83.5456,-0.05758614621404533,0.002470065909169542,0.057639096639182756,-3782.5495446587006,98.0
2020-05-16 12:00:00,2019S81,7.6508,83.55,-0.01785784900210841,-0.004436287670113531,0.01840063638231313,-3752.296250083549,98.0
2020-05-17 12:00:00,2019S81,7.6356,83.5386,-0.01301575977734428,-0.030040178313477935,0.032738697525819246,-3776.12472751501,98.0
2020-05-18 12:00:00,2019S81,7.4678,83.5022,0.0020737476550820484,-0.06061390908043776,0.06064937265420421,-3842.2372724217066,99.0
2020-05-19 12:00:00,2019S81,7.662,83.4422,0.03212249494816024,-0.048153178104551275,0.05788422274906364,-3850.0740760685135,99.0
2020-05-20 12:00:00,2019S81,7.91616,83.4256,0.03856591148014435,0.009694255578093381,0.039765665083181044,-4010.7648641961537,100.0
2020-05-21 12:00:00,2019S81,8.1996,83.4576,0.009796773123391563,0.039078392600064626,0.040287684617460864,-3893.348289161449,99.0
2020-05-22 12:00:00,2019S81,8.0508,83.4878,-0.023712123474626125,0.006547031883588171,0.024599358246926595,-3846.399898253049,99.0
2020-05-23 12:00:00,2019S81,7.8684,83.468,-0.030574848388889218,-0.017716687851428457,0.035336983210632375,-3840.6132520323117,99.0
2020-05-24 12:00:00,2019S81,7.6232,83.4596,-0.03950760036531707,0.0024109862043516124,0.03958109828065886,-3879.974662646798,99.0
2020-05-25 12:00:00,2019S81,7.316,83.4718,-0.020800633302342827,0.04068994093122772,0.04569833299766343,-3919.549301103249,99.0
2020-05-26 12:00:00,2019S81,7.333,83.5244,-0.014764046810002047,0.05989534768187604,0.06168816541396531,-3790.7162489228913,100.0
2020-05-27 12:00:00,2019S81,7.1062,83.567,-0.02450746244099128,0.018231308321638096,0.030544988433705924,-3651.762865540098,99.0
2020-05-28 12:00:00,2019S81,6.98692,83.55343,-0.024467776097442183,-0.033429739937920824,0.041427280618833544,-3693.0203349477656,100.0
2020-05-29 12:00:00,2019S81,6.7608,83.5138,-0.02002613659968806,-0.05085752023678809,0.054658334330133736,-3837.4258133825447,100.0
2020-05-30 12:00:00,2019S81,6.704,83.4726,0.008208964668011402,-0.0274010808194196,0.02860430616171321,-3830.0821267632587,100.0
2020-05-31 12:00:00,2019S81,6.8752,83.4702,0.0023231567377466024,-0.014973138055358288,0.015152290930844615,-3532.4168553375553,100.0
2020-06-01 12:00:00,2019S81,6.737,83.4488,-0.027666636359964282,-0.043994856648197654,0.05197105135524929,-3770.2818865654117,100.0
2020-06-02 12:00:00,2019S81,6.491,83.4002,-0.043978602184236354,-0.08586391762795824,0.0964713936900474,-3892.7368242105767,100.0
2020-06-03 12:00:00,2019S81,6.1316,83.3122,-0.006661522974372988,-0.12859658358147263,0.12876900712968467,-3974.851491819063,100.0
2020-06-04 12:00:00,2019S81,6.3908,83.1958,0.05011301562265254,-0.14196364760000213,0.15054896736508627,-4030.775259311942,100.0
2020-06-05 12:00:00,2019S81,6.8018,83.0864,0.07244877369946111,-0.08269354796319753,0.10994111007852057,-4052.415544874879,100.0
