datetime,buoy,longitude,latitude,u,v,speed,depth,sea_ice_concentration
2020-07-24,2020M27,-0.50584,80.1527,-0.05224703236173757,-0.266126563747158,0.27120674829819147,-2410.0144351050426,85.0
2020-07-25,2020M27,-0.7426349999999999,79.94189,-0.2213397923936265,-0.171726538935333,0.2801451550028344,-2685.677350694865,86.0
2020-07-26,2020M27,-1.73225,79.80443500000001,-0.12387062940791008,-0.25367844224462843,0.2823060128470045,-2726.568396570947,86.0
2020-07-27,2020M27,-2.2752850000000002,79.603205,-0.09896423119378063,-0.28957591952256795,0.3060198232518881,-2622.7879426387813,83.0
2020-07-28,2020M27,-2.699715,79.37381500000001,0.02638540887675532,-0.22613283409875418,0.227666968309257,-2329.3145759481745,82.0
2020-07-29,2020M27,-2.58844,79.19494499999999,0.020117476548181065,-0.10914880617012185,0.11098727292365303,-2403.527600429712,77.0
2020-07-30,2020M27,-2.504275,79.108625,-0.08879497947478304,-0.052517288711071586,0.1031630456776514,-2438.3336312949464,80.0
2020-07-31,2020M27,-2.87434,79.06687500000001,-0.35743556859221026,-0.3906268890220365,0.5294804549007178,-2373.241454648587,66.0
2020-08-01,2020M27,-4.322525,78.75453999999999,-0.20707417929323385,-0.3244103903487633,0.3848659728999218,-1543.222270839577,70.0
2020-08-02,2020M27,-5.14255,78.49706499999999,-0.055584564203607856,-0.1641629345651704,0.17331795308840173,-405.10653290720296,26.0
2020-08-03,2020M27,-5.36019,78.367325,0.1051719034502561,-0.2119808142656368,0.23663684178942296,-369.40756293558684,22.0
2020-08-04,2020M27,-4.95428,78.19964999999999,0.04959872215471642,-0.34021226570255564,0.3438086953144831,-961.2426052000976,47.0
2020-08-05,2020M27,-4.767144999999999,77.931055,-0.10533854763447623,-0.4142473252819361,0.4274307617860219,-1800.659428803418,37.0
2020-08-06,2020M27,-5.154025,77.60398,-0.12209758439819682,-0.06073226273914832,0.13636798690782137,-962.5470768329332,65.0
2020-08-07,2020M27,-5.600705,77.55571,-0.0709142028602066,0.09468516634253796,0.11829668166357253,-519.4662940518662,32.0
2020-08-08,2020M27,-5.86171,77.630255,-0.017421307580507417,0.2730671538852308,0.2736223172345322,-346.5833969429516,41.0
2020-08-09,2020M27,-5.9269750000000005,77.845655,0.07600821667758559,0.0713587280168221,0.10425601693276793,-345.45713898871554,6.0
2020-08-10,2020M27,-5.640895,77.90181,0.20650683451325771,-0.146459020180866,0.2531705300642737,-332.11830820499205,4.0
2020-08-11,2020M27,-4.8711,77.78515999999999,0.14000800730674076,-0.31860866442797775,0.3480139697750424,-1285.0149472905118,0.0
