datetime,divergence_area_weighted,divergence,maximum_shear,total_deformation,length_scale_km,drift_speed,shape_factor,flag,div_area_wt_stdev,max_shear_stdev
2020-05-01 00:00:00,1.3204080104625001e-07,1.3204080104625001e-07,1.01149016467875e-06,1.1526245720815311e-06,7.684091828366403,0.03548725,1.0,0.0,6.923035111941114e-07,1.0490942228167967e-06
2020-05-01 01:00:00,1.3316269874249998e-07,1.3316269874249998e-07,9.92918258475e-07,1.1557404132877474e-06,7.684986435496765,0.027785624999999998,1.0,0.0,8.200822623236368e-07,1.1494610851002435e-06
2020-05-01 02:00:00,8.677947822625e-08,8.677947822625e-08,6.726690338125e-07,8.168094579941457e-07,7.686656840701543,0.025058375,1.0,0.0,7.014662731066565e-07,7.962009565853448e-07
2020-05-01 03:00:00,1.570454473750001e-08,1.5704544737500008e-08,5.365011539e-07,6.711687706208979e-07,7.686906743491432,0.025735124999999998,1.0,0.0,5.817979718903214e-07,4.564042181896443e-07
2020-05-01 04:00:00,9.633153964374996e-09,9.633153964374989e-09,5.267248419875e-07,6.508485104174752e-07,7.686972643967984,0.028540875,1.0,0.0,5.650219292470029e-07,4.633958245460013e-07
2020-05-01 05:00:00,7.8053752965e-08,7.8053752965e-08,5.313888706125001e-07,6.592497656632864e-07,7.6871207662629475,0.03268425,1.0,0.0,5.317129493644061e-07,4.2124636930725993e-07
2020-05-01 06:00:00,1.1064362381250001e-07,1.1064362381250001e-07,7.131642821125e-07,8.872192253072097e-07,7.688835558492364,0.037046499999999996,1.0,0.0,6.29263029674721e-07,5.380319011298961e-07
2020-05-01 07:00:00,9.837392940124999e-08,9.837392940124999e-08,7.054661217625e-07,8.541219735355089e-07,7.689738352043404,0.0397025,1.0,0.0,5.423034612633721e-07,4.696909117809101e-07
2020-05-01 08:00:00,4.34475489975e-08,4.34475489975e-08,9.138979010225e-07,1.0033483843739404e-06,7.691064427766653,0.034508375,1.0,0.0,5.155124646069492e-07,1.0476459305090813e-06
2020-05-01 09:00:00,8.311608500062501e-08,8.311608500062501e-08,1.286400849725e-06,1.4266595981167616e-06,7.691424374576625,0.020233124999999998,1.0,0.0,7.955033832099897e-07,1.5418305903875182e-06
2020-05-01 10:00:00,1.0555372936250002e-07,1.0555372936250002e-07,2.1786198762875e-06,2.384878443612083e-06,7.692777511820239,0.019176375000000002,1.0,0.0,1.237853756383255e-06,2.4205109707289643e-06
2020-05-01 11:00:00,-6.522277398625001e-08,-6.522277398625e-08,2.1370482088e-06,2.3587788899572016e-06,7.69303940315506,0.03774375,1.0,0.0,1.2664745726718874e-06,1.9862709713625896e-06
2020-05-01 12:00:00,-1.28217680615e-07,-1.28217680615e-07,2.0043511259e-06,2.2294320894142834e-06,7.6918232411613685,0.058707875,1.0,0.0,1.2891802926570125e-06,2.1774189527320616e-06
2020-05-01 13:00:00,-9.447295418750001e-08,-9.44729541875e-08,1.6756893498874999e-06,1.83896606695539e-06,7.690731379428516,0.074889625,1.0,0.0,1.049661544175053e-06,1.8161104468595447e-06
2020-05-01 14:00:00,-9.46490491525e-08,-9.46490491525e-08,1.3352867081125e-06,1.4957190589946581e-06,7.6895801730285855,0.082388875,1.0,0.0,8.341603123130324e-07,1.167856248303046e-06
2020-05-01 15:00:00,-5.1195442573749994e-08,-5.1195442573749994e-08,1.1348660986875e-06,1.255035660387108e-06,7.688379438556529,0.073332375,1.0,0.0,6.184418161903564e-07,1.3958069779273997e-06
2020-05-01 16:00:00,-1.2359656908e-07,-1.2359656908e-07,1.8674580242875e-06,2.082675689570978e-06,7.689006957976782,0.0493375,1.0,0.0,1.1244059531014255e-06,2.2183320426061567e-06
2020-05-01 17:00:00,-1.96239292755e-07,-1.96239292755e-07,1.77294513775e-06,2.0003094843700465e-06,7.68585588782836,0.024154125000000002,1.0,0.0,1.1459207874823393e-06,1.7842297201236507e-06
2020-05-01 18:00:00,-7.644010890775001e-08,-7.644010890775001e-08,1.838187428625e-06,2.0993589274923506e-06,7.6834833200069905,0.013383500000000001,1.0,0.0,1.3967960534091509e-06,1.9160738984519053e-06
2020-05-01 19:00:00,-6.768838214999991e-09,-6.768838215000002e-09,1.33929138325e-06,1.5733554273864667e-06,7.683766868241482,0.019177625,1.0,0.0,1.2901484595475772e-06,1.8356797768928178e-06
2020-05-01 20:00:00,-1.3713265174962502e-07,-1.3713265174962502e-07,1.1946999165e-06,1.3977277785091027e-06,7.683629828308132,0.02324625,1.0,0.0,1.2539890465084335e-06,1.807808421947132e-06
2020-05-01 21:00:00,-3.691408740035e-07,-3.691408740035e-07,2.09763857475e-06,2.3971951282155146e-06,7.681927409104939,0.027356375,1.0,0.0,2.9991359133823964e-06,4.875231932078854e-06
2020-05-01 22:00:00,-2.666823103305e-07,-2.666823103305e-07,1.7659328630250002e-06,2.0123978881768393e-06,7.678375546053151,0.029134,1.0,0.0,2.090156230284227e-06,3.3081978401043106e-06
2020-05-01 23:00:00,3.1611010753250003e-07,3.1611010753250003e-07,1.8489592684749998e-06,2.123133142755878e-06,7.678559414547193,0.031064249999999998,1.0,0.0,2.4507437249974045e-06,3.727966446139901e-06
2020-05-02 00:00:00,4.4012249050375e-07,4.4012249050375e-07,2.170628135625e-06,2.508347983999691e-06,7.683251325835089,0.03505,1.0,0.0,3.230353966719452e-06,5.175238124205476e-06
2020-05-02 01:00:00,1.120252251925e-07,1.120252251925e-07,1.003676238075e-06,1.1770379838937861e-06,7.685381832056779,0.03435075,1.0,0.0,1.1618816165210058e-06,1.6855424545546192e-06
2020-05-02 02:00:00,-8.24654859625e-08,-8.246548596249999e-08,5.978867615375e-07,7.152926279158582e-07,7.685003025196733,0.032410125,1.0,0.0,5.253341269625079e-07,5.733517283374234e-07
2020-05-02 03:00:00,-3.7802490235625005e-08,-3.7802490235625005e-08,8.577497596999999e-07,9.783636155246756e-07,7.683653460968818,0.026886,1.0,0.0,6.082789354962583e-07,9.916664795664224e-07
2020-05-02 04:00:00,-4.133450559999998e-09,-4.133450559999998e-09,1.4259847819e-06,1.6154298834773898e-06,7.684526656786137,0.025168875,1.0,0.0,1.0906326650537673e-06,1.757523033560681e-06
2020-05-02 05:00:00,-5.802030063875001e-08,-5.802030063875001e-08,1.387906137125e-06,1.5536848246331695e-06,7.684278931173319,0.030000375000000003,1.0,0.0,1.0141459551504459e-06,1.6057261856224182e-06
2020-05-02 06:00:00,-6.60353507225e-08,-6.603535072249999e-08,1.1096528784e-06,1.2397431380148114e-06,7.683234550324298,0.038857,1.0,0.0,7.409296001316653e-07,1.1954186438020034e-06
2020-05-02 07:00:00,-1.424213234375e-08,-1.4242132343749993e-08,8.587241646625e-07,9.335474724203886e-07,7.682893915919226,0.045467,1.0,0.0,4.980706282164805e-07,8.84029607377521e-07
2020-05-02 08:00:00,2.5262637481249997e-08,2.5262637481249997e-08,6.9490096381375e-07,7.68258798087498e-07,7.6831253463916,0.047495125,1.0,0.0,5.627152720938789e-07,8.697886253978274e-07
2020-05-02 09:00:00,-2.210245057275e-08,-2.210245057275e-08,3.2233248705874996e-07,3.457612225478848e-07,7.682898447833637,0.0472975,1.0,0.0,1.2430381056376665e-07,2.593604250784337e-07
2020-05-02 10:00:00,-3.6303788864999996e-08,-3.6303788864999996e-08,5.5902115905e-07,6.193153699571795e-07,7.682286113813255,0.04493175,1.0,0.0,4.0734163340124315e-07,6.23122548012607e-07
2020-05-02 11:00:00,-2.1272090713750003e-08,-2.1272090713750003e-08,4.159784622125e-07,4.590720737971607e-07,7.682279216161911,0.04151775,1.0,0.0,2.2101292888727156e-07,3.740619470071435e-07
2020-05-02 12:00:00,-3.0589799806625e-08,-3.0589799806625e-08,4.7413099811250005e-07,5.407145166608658e-07,7.681662762583687,0.038306875000000004,1.0,0.0,3.1887452996622537e-07,4.7491055004170535e-07
2020-05-02 13:00:00,-6.240062147125e-08,-6.240062147125e-08,4.1166762521249997e-07,4.7288098866636995e-07,7.68148283198933,0.035926625000000004,1.0,0.0,2.996142298321121e-07,4.254697272776966e-07
2020-05-02 14:00:00,-9.173826718375001e-08,-9.173826718375001e-08,3.98613123475e-07,4.645092846013824e-07,7.680165099685854,0.0373995,1.0,0.0,2.7164940174799587e-07,2.999063549597018e-07
2020-05-02 15:00:00,-7.365780586250001e-08,-7.365780586250001e-08,6.451812558125e-07,7.136254466054217e-07,7.679093114735826,0.042709125,1.0,0.0,3.7571290171590024e-07,6.42152801741901e-07
2020-05-02 16:00:00,-8.055512051500001e-08,-8.0555120515e-08,6.3526103098125e-07,6.983527057225483e-07,7.67832408301449,0.048366375,1.0,0.0,3.58118433154228e-07,7.331179114665842e-07
2020-05-02 17:00:00,-1.7018679443e-07,-1.7018679443e-07,7.25304194325e-07,8.119438536780056e-07,7.677189857994274,0.055769875000000003,1.0,0.0,3.9222245822327044e-07,7.041274854583218e-07
2020-05-02 18:00:00,-1.70455132648075e-07,-1.70455132648075e-07,1.1761776090125e-06,1.2950729462480045e-06,7.673849966232639,0.069981375,1.0,0.0,6.839430654730325e-07,1.240694787580886e-06
2020-05-02 19:00:00,-9.743129524249999e-08,-9.743129524250002e-08,1.3519693594749998e-06,1.4870513670063506e-06,7.6728128440140635,0.08458299999999999,1.0,0.0,8.373837004986853e-07,1.5669946389338608e-06
2020-05-02 20:00:00,-5.0968185167375e-08,-5.0968185167375e-08,7.811139378875e-07,8.642228075409243e-07,7.671201847922622,0.089268125,1.0,0.0,4.6191782487610126e-07,7.31554532258406e-07
2020-05-02 21:00:00,-1.637055322875e-08,-1.637055322875e-08,4.7078245312500003e-07,5.616919712509203e-07,7.670978513787119,0.08929424999999999,1.0,0.0,4.255281058945259e-07,3.6939849486475923e-07
2020-05-02 22:00:00,-1.33436971734875e-08,-1.33436971734875e-08,4.791123262124999e-07,5.919887435196308e-07,7.670527193795886,0.08921875,1.0,0.0,5.446266007407688e-07,4.6498372835541195e-07
2020-05-02 23:00:00,3.9028712704874997e-08,3.9028712704874997e-08,5.492409521375e-07,6.617568153409745e-07,7.670455639864453,0.08743175,1.0,0.0,5.396856438150603e-07,4.913280683608292e-07
2020-05-03 00:00:00,7.8154975220375e-08,7.8154975220375e-08,8.220075417874999e-07,9.537640815105893e-07,7.671706828221216,0.08458099999999999,1.0,0.0,6.283163344003169e-07,6.647588128093225e-07
2020-05-03 01:00:00,1.1123738557250001e-07,1.1123738557250001e-07,9.72805638625e-07,1.1143928368255547e-06,7.672841017389144,0.080523875,1.0,0.0,6.982421439138824e-07,9.067983826087805e-07
2020-05-03 02:00:00,1.31859983565e-07,1.31859983565e-07,1.1020813666250002e-06,1.261368987080025e-06,7.674596186959393,0.0742275,1.0,0.0,8.131134226524686e-07,8.945186963329722e-07
2020-05-03 03:00:00,3.8259180402875005e-08,3.8259180402875005e-08,1.0737048534875e-06,1.2778329363936733e-06,7.675945282557119,0.071967,1.0,0.0,1.0732667327808021e-06,9.959003343464168e-07
2020-05-03 04:00:00,-5.7047604988749985e-08,-5.704760498875e-08,9.963095960000002e-07,1.171583326269747e-06,7.675026676872268,0.076705125,1.0,0.0,9.277353635098547e-07,1.000762213404003e-06
2020-05-03 05:00:00,-3.4817369849e-08,-3.4817369849000004e-08,9.581848122625001e-07,1.10763714475843e-06,7.674375535534938,0.08303150000000001,1.0,0.0,7.432464652530666e-07,9.246583509165842e-07
2020-05-03 06:00:00,-4.799202839875e-08,-4.799202839875e-08,1.142049326875e-06,1.3181913017227345e-06,7.674159732778493,0.092626875,1.0,0.0,8.749311471374527e-07,1.360021284476744e-06
2020-05-03 07:00:00,-1.0315034338625001e-07,-1.0315034338625001e-07,1.34894345733e-06,1.5386398108786217e-06,7.6732380332517796,0.104620125,1.0,0.0,9.727018688446325e-07,1.8305575919836557e-06
2020-05-03 08:00:00,-6.369442098125e-08,-6.369442098125e-08,1.2117349406625e-06,1.3718143066666217e-06,7.671871910679981,0.117678625,1.0,0.0,7.943904830215507e-07,1.3238583254066398e-06
2020-05-03 09:00:00,-4.137329877124999e-08,-4.137329877124999e-08,1.35650360285e-06,1.5224652168689792e-06,7.6712712998546095,0.13238125,1.0,0.0,8.90286264550247e-07,1.4525553867530892e-06
2020-05-03 10:00:00,1.0788284062499976e-09,1.0788284062500082e-09,1.3530640324375001e-06,1.541848689099538e-06,7.670418568234233,0.143543125,1.0,0.0,9.725993664685672e-07,1.3949073282824079e-06
2020-05-03 11:00:00,6.876713352899999e-08,6.8767133529e-08,1.1690106649475e-06,1.3579988918128595e-06,7.67098027908749,0.148433875,1.0,0.0,9.910234733625822e-07,1.3213576027883205e-06
2020-05-03 12:00:00,1.0200305026938749e-07,1.0200305026938749e-07,1.2335570417499999e-06,1.4263260492169808e-06,7.6713927836899725,0.14712162499999998,1.0,0.0,1.1264158827453133e-06,1.5934723365489975e-06
2020-05-03 13:00:00,1.0537777302125e-07,1.0537777302125e-07,1.5556441779874998e-06,1.778450546124949e-06,7.672835123725713,0.140441625,1.0,0.0,1.303183362753347e-06,1.7743746678646504e-06
2020-05-03 14:00:00,6.839291228124999e-08,6.839291228125002e-08,1.6733272538375e-06,1.893895121144683e-06,7.673614706562459,0.12819387499999998,1.0,0.0,1.2709629203853195e-06,1.6168555413236563e-06
2020-05-03 15:00:00,1.038375054925e-07,1.038375054925e-07,1.6957559089000001e-06,1.9271446003808033e-06,7.674806909744035,0.11285700000000001,1.0,0.0,1.2996840351329459e-06,1.6910402910596283e-06
2020-05-03 16:00:00,1.38159236285e-07,1.38159236285e-07,1.8131443471625e-06,2.0493568522594877e-06,7.676497950791012,0.099362125,1.0,0.0,1.3585794816310137e-06,1.8703206647230348e-06
2020-05-03 17:00:00,8.972945423999998e-08,8.972945423999998e-08,1.6222103680000002e-06,1.8353311430318379e-06,7.67826864188127,0.08994825,1.0125,0.0,1.2614195462736108e-06,1.6312835372529074e-06
2020-05-03 18:00:00,6.649944888437498e-08,6.649944888437499e-08,1.3019081706e-06,1.4953710990387916e-06,7.6790764680189865,0.084943125,1.0125,0.0,1.1072834777013793e-06,1.4752343282656457e-06
2020-05-03 19:00:00,8.394792694750002e-08,8.394792694750002e-08,1.0574204451037499e-06,1.2195504713282834e-06,7.680143641230219,0.082952,1.0,0.0,9.388337158599971e-07,1.3489931094052077e-06
2020-05-03 20:00:00,6.804099497175e-08,6.804099497175001e-08,9.002345578000001e-07,1.0324121280632605e-06,7.681173947814358,0.084130125,1.0,0.0,8.557288098636686e-07,1.280680063892793e-06
2020-05-03 21:00:00,5.454787092500001e-08,5.454787092500001e-08,9.439749201624999e-07,1.0948598854284131e-06,7.681803343822634,0.08693725,1.0,0.0,8.397160544270969e-07,1.1840269837210166e-06
2020-05-03 22:00:00,7.148472862711125e-08,7.148472862711125e-08,9.4990349985e-07,1.1136313566979556e-06,7.682521441366184,0.087716125,1.0,0.0,8.187839127811014e-07,1.1272336935244001e-06
2020-05-03 23:00:00,9.440586239124999e-08,9.440586239124998e-08,9.346640934875e-07,1.088685436104262e-06,7.683517938223703,0.0850515,1.0,0.0,8.196348386452761e-07,1.1033925205256827e-06
2020-05-04 00:00:00,5.1131062175e-08,5.1131062175e-08,1.3028568966125e-06,1.507543414375559e-06,7.684761558692687,0.07742825,1.0,0.0,1.0141095324211476e-06,1.347870989716252e-06
2020-05-04 01:00:00,-9.221037970000008e-09,-9.221037969999998e-09,1.6558821571125e-06,1.9006040449818326e-06,7.684216498468335,0.06713175,1.0,0.0,1.2684234907499614e-06,1.811007732048603e-06
2020-05-04 02:00:00,2.03727752175e-08,2.0372775217499993e-08,1.7345060452374999e-06,1.999170020083983e-06,7.683860350545698,0.05710775,1.0,0.0,1.391615933291855e-06,1.6331917685650875e-06
2020-05-04 03:00:00,2.885066827187501e-08,2.8850668271875e-08,1.8522478648749999e-06,2.1195119287194866e-06,7.684792408092408,0.044964875,1.0,0.0,1.4650731403994048e-06,1.7950323530475161e-06
2020-05-04 04:00:00,1.985649827375e-08,1.9856498273750003e-08,1.77221274625e-06,2.0346925986034456e-06,7.684713758699663,0.03623775,1.0,0.0,1.4013054516131197e-06,1.7472686766610504e-06
2020-05-04 05:00:00,9.525345415374983e-09,9.52534541537498e-09,1.4063797264999999e-06,1.6220296923409037e-06,7.6851759476359565,0.03322575,1.0,0.0,1.2147882192245022e-06,1.2377733805566925e-06
2020-05-04 06:00:00,-2.7368618216249995e-08,-2.7368618216249995e-08,9.726350712e-07,1.1386985870258799e-06,7.685210041841261,0.032887,1.0,0.0,9.093610272985965e-07,8.416555213415957e-07
2020-05-04 07:00:00,-4.519044829512499e-08,-4.5190448295125006e-08,6.830397451e-07,8.276140702365459e-07,7.684667530848931,0.034906124999999996,1.0,0.0,6.564911628274209e-07,5.659531990043036e-07
2020-05-04 08:00:00,-1.345280580375e-08,-1.345280580375e-08,4.714504243625e-07,5.737856632695855e-07,7.684077327002697,0.0380625,1.0,0.0,4.4942200108929465e-07,3.42079511030186e-07
2020-05-04 09:00:00,-2.5217849844125e-08,-2.5217849844125e-08,4.554232135625e-07,5.627504816407602e-07,7.684550967851327,0.042025625,1.0,0.0,4.82160970451724e-07,4.003448727330307e-07
2020-05-04 10:00:00,-5.4180105329999996e-08,-5.4180105329999996e-08,4.9975744575e-07,6.155330886577998e-07,7.683329253891932,0.04512575,1.0,0.0,5.2795032891367e-07,4.514332492564219e-07
2020-05-04 11:00:00,3.4155720608749975e-09,3.4155720608749988e-09,4.315841147875e-07,5.16800751702913e-07,7.683079567421254,0.04654625,1.0,0.0,3.689006278498018e-07,3.191681382993607e-07
2020-05-04 12:00:00,6.449088621499999e-08,6.449088621499999e-08,7.912391938499999e-07,8.795280659088812e-07,7.6835354925223855,0.046299,1.0,0.0,4.985340772415833e-07,8.509065623126347e-07
2020-05-04 13:00:00,3.26207967575e-08,3.26207967575e-08,1.24319638285e-06,1.3509621280365161e-06,7.684539281215637,0.0458065,1.0,0.0,7.143655571486105e-07,1.4538703107967518e-06
2020-05-04 14:00:00,-3.5292218212500005e-08,-3.52922182125e-08,1.4573963463375e-06,1.6044401629230955e-06,7.684265322515084,0.0494625,1.0,0.0,8.327946920387918e-07,1.5162804039792147e-06
2020-05-04 15:00:00,-2.6490538063750016e-08,-2.649053806375e-08,1.459633975375e-06,1.623858559453162e-06,7.684061966151612,0.056951875,1.0,0.0,9.424154987115361e-07,1.437131920934222e-06
2020-05-04 16:00:00,-6.783892632375001e-08,-6.783892632375001e-08,1.251027812325e-06,1.4074345490966155e-06,7.684116347669364,0.063228375,1.0,0.0,8.927518564528489e-07,1.2003970420294923e-06
2020-05-04 17:00:00,-1.564578066475e-07,-1.564578066475e-07,9.8850530145e-07,1.1380039513804766e-06,7.682823011067278,0.0670225,1.0,0.0,6.659937373813493e-07,6.718998490806054e-07
2020-05-04 18:00:00,-1.1564741737e-07,-1.1564741737e-07,8.26236145525e-07,1.006105112384431e-06,7.680311131472598,0.066800375,1.0,0.0,6.626110438570619e-07,5.607879226919327e-07
