frequency,2019P144,2019O3,2019T69,2019P151,2019V2,2019V3,2019P191,2019P142,2019P195,2020R11,2019P209,2019P194,2019P182,2020T73,2019S93,2020P228,2020P216,2020P160,2020P217,2020T75,2020P213,2020E1,2019S81,2020T74,2020P210,2019S96,2020E3,2019P139,2019P105,2020P226,2020P186,2020P227,2020P225,2019F2,2020P218,2019P102,2019P159,ASFS30UCB3,2020M26,2019P199,2019T62,2019T63,2019P205,2019P201,2019T66,2019P200,2019T65
0.10762331838565023,5.672858991494326e-06,2.4093995355533373e-06,4.962380146901642e-06,2.5575820234844565e-05,4.7243536396945925e-06,7.0177992337637595e-06,1.1376266190557233e-05,1.0517591600280335e-05,1.4275915078071389e-06,2.1989834813657678e-05,1.4289321809819681e-05,2.6064535650980758e-05,5.197252613226123e-06,2.61020362421891e-06,1.2634484073944694e-06,1.3461313304591174e-05,1.7717740989428894e-05,1.7174911118750926e-05,8.352352275002177e-06,5.796034028878222e-06,2.4286565928586367e-06,9.094612835258966e-06,2.431815133628811e-06,2.964379766125408e-06,2.4552630661218475e-06,2.2011513451118977e-05,2.321352382640443e-05,1.098185744213546e-05,5.42268206654432e-06,2.6089389677349057e-05,1.0728090011764731e-05,1.0571356184411427e-05,2.6437220602357522e-05,1.2735497349587544e-06,2.6827941024627557e-06,4.254286805069106e-06,3.57974701788902e-06,1.291751185857611e-06,6.4508153744123486e-06,2.107875677518788e-06,2.2049709722139635e-05,9.394669290483017e-07,3.2923551003328084e-05,2.1245270414609146e-06,6.82426243457108e-06,1.9586925028635663e-06,8.916806420841449e-07
0.16143497757847536,9.686323715302677e-06,9.326331157064599e-07,1.0415474214339432e-05,2.682114069846545e-05,1.2940987704472967e-05,6.155056701866715e-06,2.6633569551173192e-05,1.4199508853973434e-05,1.7171854385353656e-06,2.0317343778766907e-05,2.0281634217388413e-05,2.816364130615838e-05,2.5786910530658965e-05,1.1141402197611116e-05,9.26450981528833e-07,1.499119023142611e-05,3.339869197771475e-05,4.379207260448903e-05,2.1146124232437096e-05,1.2309990256041909e-05,2.670049522537501e-06,1.5305832403559818e-05,9.311101084470812e-07,1.0841022885570306e-05,1.3758148922370156e-05,2.0336929518511328e-05,2.047449681969165e-05,1.0422746151982432e-05,8.839706483097887e-06,2.071591140655222e-05,7.464843502742931e-06,1.6684852317054497e-05,2.0687993866159043e-05,9.405755542784176e-07,5.165771659830322e-07,6.0002618431049835e-06,1.0077986272507635e-05,9.467130852293971e-07,1.2710680209939036e-05,1.1550566490685442e-05,2.0338387606349195e-05,8.082370785136957e-07,4.263594008738441e-05,6.424978653043373e-06,1.2735523365503134e-05,8.060887541299246e-06,9.166169931481586e-07
0.21524663677130046,4.913536188162612e-05,1.5902742409072104e-06,3.2292809082057965e-05,5.52580742315169e-05,4.890825062778676e-05,1.2150726261793029e-05,7.54521486036121e-05,2.722032168165963e-05,2.4417878178488768e-06,4.1463697633372924e-05,2.382355218856245e-05,7.658041983337717e-05,5.4936268063325745e-05,2.603178904218668e-05,2.4222015983529713e-06,5.687290942064229e-05,3.432922376804473e-05,6.865937510397973e-05,3.076983945864536e-05,2.9634216841117722e-05,7.309238241670934e-06,2.4719621546028904e-05,1.590332169233319e-06,1.4672267261072256e-05,4.489831931907276e-05,4.147439961010783e-05,4.13676916942191e-05,3.153340036966696e-05,1.002993774094006e-05,6.019949422058519e-05,2.0937624483137456e-05,4.27288616480604e-05,5.977672619180251e-05,2.4303185947623595e-06,5.393518727168228e-06,7.642879919112006e-06,1.5965659803329554e-05,2.4439232599744138e-06,2.9271244761138425e-05,1.5427539655077485e-05,4.1506100773713754e-05,2.2353750569732874e-06,5.532520189355363e-05,9.579707872523392e-06,3.077945468247975e-05,1.965202477496803e-05,2.2835585168388467e-06
0.26905829596412556,7.920323651779147e-05,7.91882341386517e-06,4.827883103758998e-05,6.112935623010058e-05,7.644596447632541e-05,7.650924809617095e-06,0.00011550086103123946,8.057508538836235e-05,7.351990348021363e-06,5.35887231986351e-05,1.9019592297000463e-05,8.312980998667911e-05,5.632232743255008e-05,3.645003420405652e-05,2.7060744831433346e-06,5.45417059823126e-05,5.634782835329289e-05,7.98502966828771e-05,2.6221237911978514e-05,3.278279279543507e-05,1.6032781163615247e-05,3.098462358280199e-05,7.90816451780408e-06,1.5275326701012392e-05,8.595322653743025e-05,5.3563495893367e-05,5.372857795716885e-05,3.152406615998162e-05,2.4098944029236492e-05,7.452942806538635e-05,3.36087503708512e-05,4.215428626713272e-05,7.368299906877052e-05,2.687469559515074e-06,1.5762682926780105e-05,9.610350015127199e-06,1.6132130142043224e-05,2.67977604739275e-06,3.10551007340348e-05,2.276175688561679e-05,5.354429768638193e-05,3.4778898607086395e-06,8.85074516525387e-05,1.2738674853023062e-05,3.253791040710731e-05,1.9339256914002346e-05,3.948213503974282e-06
0.3228699551569507,8.530906870093388e-05,3.6875184481348324e-05,0.00013207858496083383,0.00010145570350216888,7.3077589278797e-05,2.8296742448662e-05,0.0001562875713033926,0.00014963097543119642,5.467706299388333e-05,8.087780659365616e-05,3.390885700483621e-05,0.000110162471289254,5.1171043956236215e-05,5.001893046906259e-05,2.7379403715143482e-05,8.715571057667534e-05,4.9521633055237865e-05,0.00017494226372979672,2.6159738297274223e-05,4.011110081862246e-05,2.0336014565722943e-05,5.6706529312538396e-05,3.6813272825457485e-05,7.032988721309898e-05,9.42025844075924e-05,8.094222502426892e-05,8.10262423163552e-05,7.018890138184892e-05,2.630821456136601e-05,0.00011432990474560552,4.0248976872789194e-05,6.0558624692805336e-05,0.00011462933416985772,2.7485437311571966e-05,6.12450951263875e-05,9.542384566270124e-06,4.925180152844577e-05,2.7533445697749597e-05,3.974750106602174e-05,0.0001026725295125708,8.096023536240444e-05,2.977155514241605e-05,0.00016268545081192865,9.033548312446506e-05,4.071501614052519e-05,4.796169161035902e-05,2.959939922192936e-05
0.3766816143497758,4.5276704804106636e-05,8.159666328187473e-05,0.0001592933909075348,0.00019000274022496516,3.751420263573374e-05,3.9272525360558956e-05,0.00018627243390550302,0.00015316779253813213,7.269753953618943e-05,0.00012437722357170656,9.095023548277294e-05,9.210888554884082e-05,6.556769006604856e-05,0.00016812683149131164,6.613355428320001e-05,0.00011153544196076509,0.00010045313001667646,0.000205624502956608,3.3220094452040526e-05,6.0548755986716746e-05,2.6014116547172536e-05,5.395340515761208e-05,8.14397006999141e-05,0.00019670622557399476,6.405157978485633e-05,0.00012438212226062876,0.00012493396150608417,0.00011764700487010915,4.5090532698722234e-05,0.00015234592045261085,9.521541897766433e-05,0.00010698412612634846,0.00015371393029841313,6.625180581791837e-05,9.429778767447116e-05,7.275361136976669e-06,0.00016573103009623935,6.650915242722783e-05,6.409022030382177e-05,0.00025892629124182366,0.0001241156749947204,7.228552573994274e-05,0.000293343593756482,0.00023351505308936594,6.646383917569102e-05,8.522967560397068e-05,7.035658440951126e-05
0.4304932735426009,1.9639792552379664e-05,7.791452833238323e-05,0.00017264072213751336,0.00018155183415751477,3.2542147900146856e-05,5.912776129678191e-05,0.0002014774123980606,0.00011356721800862665,8.599210486439995e-05,0.0001165938670651231,0.00011522704448919706,8.502535176502246e-05,6.396548074431893e-05,0.00017511732313614024,7.65779404361673e-05,0.00012052091027231497,0.00017277493276080593,0.00018828304634735792,3.321819670984174e-05,8.015983409779968e-05,2.874085224541541e-05,6.51381791347639e-05,7.785681098758207e-05,0.00022063867605457357,3.5200578470168456e-05,0.0001164282515867376,0.00011756794228973769,0.00013417511210519868,3.0206350816451574e-05,0.0001508395153437045,0.00012228150474037896,0.0001269392133770445,0.00015174318006817839,7.691098442594547e-05,8.881064549328998e-05,2.9748754926337115e-05,0.00017580926751044822,7.722442986660556e-05,7.960988263009738e-05,0.0003078293944379619,0.00011605053002576525,8.912300580471284e-05,0.0002779307393768436,0.00024213336313350756,8.281486441684967e-05,0.00010043760006454585,8.538727784471796e-05
0.484304932735426,1.317265585678767e-05,5.5826911837705816e-05,0.00015218444997541064,0.00017456636643804768,6.466313732299721e-05,5.509855946395948e-05,0.0001698616543046052,6.705853542777119e-05,5.231845558921349e-05,9.734001170457238e-05,0.000182256958512993,7.749413682987535e-05,6.604339710144692e-05,0.00016203437354964204,5.3882535838793526e-05,8.723310785379904e-05,0.00017911336795340568,0.00012181744790992587,2.6960757523438423e-05,6.937969783830057e-05,3.465426719281374e-05,6.008854119452338e-05,5.5789511780252756e-05,0.00020923507618695377,5.010586473368786e-05,9.723977896724568e-05,9.757800407971934e-05,9.718839267181458e-05,2.5551255219946573e-05,0.00011643103211289607,0.00017490940024134446,0.0001107753601709273,0.00011721487453117775,5.43023523181118e-05,5.01515047078169e-05,4.253909651340279e-05,0.00016763704792347313,5.4526543029902125e-05,6.678165560076067e-05,0.0003016285570718865,9.693305917126991e-05,6.673620652067455e-05,0.00022417159905022295,0.00023164003055272108,6.899980573821812e-05,8.536798923079908e-05,6.325338267442421e-05
0.5381165919282511,1.2246740132121468e-05,1.5656872146015455e-05,0.00015088487589415904,0.00010725499786422331,9.841551603373386e-05,4.032970900209279e-05,0.00010080612029950427,8.846681598109286e-05,3.304382378065751e-05,8.395824160764936e-05,0.00018216417481271876,4.325214088736868e-05,2.306267427257046e-05,3.2255552796693236e-05,1.5651262692148494e-05,6.734764679534214e-05,0.00017743804591937093,0.00019265402190305443,1.20501930012701e-05,3.386967714070081e-05,2.5069768403835224e-05,0.00011575942172956882,1.5679978569327326e-05,8.763561976506578e-05,0.00010775649472449792,8.396359513385509e-05,8.277180536472213e-05,6.154871543141531e-05,1.5254304198049305e-05,6.62278087922362e-05,0.00019541006931368064,6.09573611501078e-05,6.497679084645788e-05,1.618517421372458e-05,1.3386354170844362e-05,5.0433304282961386e-05,5.8586752250919086e-05,1.617424242332995e-05,2.6965671667803377e-05,0.00015717075119014556,8.383986595700891e-05,2.329248507390286e-05,0.00010075338678006168,0.00010229716090656845,2.8492273127039768e-05,8.855630937137987e-05,2.1478046110832343e-05
0.5919282511210763,2.1020804104741256e-05,6.474831444696408e-05,0.00017170138754653692,9.47669626650045e-05,0.0001135465342950539,4.128953357799718e-05,5.223075725569951e-05,9.255097601285738e-05,2.043435493118879e-05,7.193242877965683e-05,0.00017437306308216446,2.9622853980253475e-05,4.782483340495586e-05,2.0322534173528808e-05,5.664422790357092e-06,6.213108015137632e-05,8.519001916962876e-05,0.0002981354662403073,1.217451978949403e-05,2.6673519394372984e-05,2.3733734556819625e-05,0.0001492958532621954,6.447095883844886e-05,6.535155562723238e-05,0.00010052160268166268,7.194936016604526e-05,7.028320654193997e-05,0.0001025338318231591,6.496137524364057e-05,5.615086356964307e-05,0.0001954226770369622,4.461349760400903e-05,5.30441096933147e-05,5.842675682995354e-06,1.574662635249779e-05,5.2830863223567145e-05,5.348101376383221e-05,5.72749959793489e-06,2.0122335307376948e-05,0.00010481435136980318,7.19997774991399e-05,4.959423272701496e-06,7.344718334719271e-05,0.00010755796331981983,1.9195744892387737e-05,0.00014113883129572585,4.447068903171405e-06
