frequency,2019T69,2019P146,2019P140,2019P124,2020P160,2019P125,2019P103,2020P225,2020P185,2019P158,2019P198,2019P148,2019P202
0.10762331838565023,6.315004372353542e-05,2.535353503472428e-05,1.6058749346814923e-05,6.90889132356814e-05,1.9731249385634405e-05,2.581211873009109e-05,4.243912436585075e-05,4.348688104786462e-05,2.8221583125054146e-05,4.038149602609614e-05,2.076673209562264e-05,5.145857793293885e-05,9.401556253374441e-05
0.16143497757847536,0.00014917017472219167,6.352634270714443e-05,2.333238706378415e-05,0.00016377504305786235,2.0895651253474375e-05,2.783831579788513e-05,0.0001323928168189718,0.00019266646209764528,4.278184619126878e-05,0.00010802802076656787,1.4581159948851686e-05,3.429048132751392e-05,0.00018997930646640055
0.21524663677130046,0.00021611250943262742,7.294566090175948e-05,3.210023145684248e-05,0.00021817400322775169,4.064123061007626e-05,2.853574795022396e-05,0.00015871340370432127,0.0003706197266555674,4.221424395457181e-05,0.00014382280215796217,1.5842205485789498e-05,3.055066760746013e-05,0.00027369517785118366
0.26905829596412556,0.00038796590114009743,7.860436157774583e-05,2.7378879946021072e-05,0.00033927620872881983,4.513423821048097e-05,3.507177238494179e-05,0.0001554432451049084,0.00044338414745657403,3.164517770336135e-05,0.00021057725723743422,1.9678171779192094e-05,1.2242510693498748e-05,0.0004820349826800559
0.3228699551569507,0.0005192255459834988,0.00014316636803746508,2.2698718074382045e-05,0.0005337491203774082,5.7008169690562e-05,3.6192675124875555e-05,0.00016511889269870214,0.00038585436758520775,2.840955153887213e-05,0.0002596365709956063,2.173833886372049e-05,7.88707172675067e-06,0.000744178614158787
0.3766816143497758,0.000614460853392656,0.00015574126702395849,2.063827868988656e-05,0.0004895518008135668,8.246871967585466e-05,5.5276327850055024e-05,0.00017526085461615608,0.0003460239036553994,3.76863015677724e-05,0.0002629166483985781,2.262559594118267e-05,9.851351225620767e-06,0.0009008031289306405
0.4304932735426009,0.0007040610285331426,0.00016362680886143255,3.8447429890840603e-05,0.00042087670525351015,0.00011357635187309546,4.821354680479929e-05,0.00014779136927637004,0.0002707616967126377,5.91291399479327e-05,0.00021532014472361768,2.6968142968801267e-05,2.6401381274836227e-05,0.0011187710940232568
0.484304932735426,0.0009125904294574481,0.00015259775726876246,6.026267366141527e-05,0.00022602403762869157,9.880157359542679e-05,4.4677300362111654e-05,0.00017691150622359806,0.0004165097411729906,9.575970545037721e-05,0.00019208529580196809,2.4794481130054116e-05,6.859204673608632e-05,0.00148204310241334
0.5381165919282511,0.0009284857296090726,0.0001535416232468778,5.5860674181383724e-05,0.0002350909750088871,5.4000651549558065e-05,3.1987477883661215e-05,0.00020298635835678253,0.0007200183014807293,0.00010508321858716715,0.0002078974514453841,3.5747642509918955e-05,6.530120249097917e-05,0.00157932610288898
0.5919282511210763,0.0007831551978336529,0.00012343727047044729,5.195679185039987e-05,0.00037096631277928904,2.2590867284684352e-05,4.299775176705584e-05,0.0002007879350093433,0.0009815243312991527,9.242293706230819e-05,0.00017565709852146967,5.849094476762473e-05,6.120001463183918e-05,0.0013038984821158337
