frequency,2019P144,2019O3,2019T68,2019T69,2019P92,2019P192,2019P90,2019T56,2019O1,2019V3,2019P191,2019P142,2019P195,2019O5,2020R10,2020R11,2019O4,2019P209,2019P194,2020M29,2019P157,2019P155,2019P196,2019O6,2020R12,2019P197,2020S99,2019P140,2020P215,2020T73,2019S86,2019S93,2020P228,2020P214,2019P124,2020P216,2019R9,2020P160,2019R8,2020P217,2019P125,2020T75,2020T61,2020P213,2020E1,2019S94,2019S81,2020T74,2020T76,2020P210,2020E2,2019S96,2020E3,2020P211,2020T77,2019P123,2019P137,2020P220,2019P139,2019P105,2020T79,2020P226,2020P186,2020P227,2019P103,2020P219,2020P225,2019F2,2020P185,2020P218,2019P102,2019P206,2020S97,2019P199,2019P204,2019T62,2019P205,2019P198,2019P201,2019T67,2019T66,2019P200,2019P148,2019P202,2019T70,2019T64,2019T58,2019T59,2019T65,2019P203
11.892376681614351,8.308807834003978e-12,1.8791578879527264e-10,4.622589829581093e-13,5.436508611417275e-11,1.1678368974622805e-10,2.508198096463763e-10,5.491262660800223e-11,5.572895228558818e-13,4.618755161567375e-11,7.103992562668225e-11,2.190203415302661e-11,2.6865648537694433e-10,9.289737484098748e-11,3.1635170165841655e-10,4.934833071254806e-10,1.2607215719407212e-10,6.206242321766857e-11,3.171998792681434e-11,4.273101748883686e-11,5.473058915696986e-10,1.9073113391225229e-10,1.400152697969163e-11,3.959438579590598e-11,3.794487328147956e-10,8.562866421055377e-11,1.4283980747112598e-10,6.838189680445128e-11,3.287880097141602e-13,3.981747900907998e-12,2.047227254630459e-10,1.7801638325956243e-10,7.969488518019878e-11,4.770927420716535e-10,3.9851390481201674e-12,6.108369547434029e-10,9.997054418672819e-11,3.3327406610571818e-09,5.4458179710781134e-11,7.235322411163986e-11,4.2030761439284e-11,2.7331582205495573e-10,2.3288018147932417e-10,1.9737376131829035e-13,4.762258613420726e-11,2.621704512530117e-10,9.64802658112723e-12,5.529567573231356e-10,2.3781718788557385e-10,6.938472231972846e-11,1.621957998962008e-12,1.6599163630782452e-09,2.966739880965946e-10,3.8180839582672456e-10,3.1709455810135613e-12,1.004093218065261e-10,5.824109677418019e-11,1.633401523357348e-12,2.662290508698985e-10,9.20448346763647e-13,4.2188913721062896e-11,2.932669753776243e-10,3.161790096263479e-10,1.9739482082631565e-11,1.7456717800593573e-10,1.8278758739365257e-10,1.1492791912527338e-10,7.072702614904295e-10,2.9491349703792555e-13,8.470132724629036e-11,5.4506895321053616e-11,4.818710450157797e-11,8.761196625972319e-11,6.739008662171386e-10,3.6496338859769736e-10,2.560807120411074e-10,3.342087989768735e-10,6.490593637965547e-11,1.7297577039575524e-10,1.6804386756891692e-10,5.332800478678305e-11,2.299366246124441e-10,1.379799945323063e-10,4.270240815511343e-13,2.592347354857597e-10,3.461097726093837e-13,2.722126529914099e-10,3.1120032973243333e-13,1.83097994689492e-13,7.35293291506377e-11,3.2718902376568237e-10
11.838565022421525,2.168373231010437e-11,6.109941215667673e-10,6.402000808725147e-13,5.661181703499523e-11,3.124317457122881e-10,2.5833115422761695e-10,1.74574568458056e-10,1.354057285726593e-12,1.9851250517654328e-10,4.183090736725314e-10,1.397868837298963e-10,4.944934912287355e-10,2.005099273902925e-10,5.145508846189517e-10,7.222407213553985e-10,1.666482401346115e-10,2.715593468891776e-10,4.416992138198349e-11,8.704386732780118e-11,7.802897922038017e-10,2.2845204088145613e-10,4.435437828002129e-11,5.8130351106120706e-11,8.117371713737412e-10,3.0899228574414934e-10,1.4118378394433262e-10,9.552649549271509e-11,6.366979471528906e-13,8.350087083653871e-12,1.9916201246616793e-10,3.0196831272357893e-10,1.0678648818577407e-10,5.715276584279412e-10,6.570129246538643e-12,7.970225028718346e-10,2.168045553121824e-10,6.599629397454277e-09,1.9383478386539713e-10,1.0285429887361482e-10,5.3544577807325824e-11,3.1214014637037476e-10,3.6885080512481906e-10,5.506122753370854e-13,1.349244941157739e-10,1.293050276352535e-09,2.2925591634398728e-10,8.362735626701698e-10,7.500022127589781e-10,1.343301082932559e-10,6.5061357357281245e-12,1.6169446203366198e-09,2.835456242567431e-10,1.465254613349731e-09,8.376118685160623e-12,1.5693188889625415e-10,5.663498925367461e-11,2.8720552250371862e-12,4.340829791581712e-10,1.7798258924676864e-12,8.491301464121813e-11,4.853561675031152e-10,4.3181498892501467e-10,9.086007341976978e-11,3.277639599714984e-10,2.939664770910615e-10,2.854636197353277e-10,1.3202096796314618e-09,7.169311330498231e-13,1.376781761178086e-10,5.866936098202216e-11,1.0979316125433427e-10,3.833451415494762e-10,1.779212825099176e-09,8.091949094887327e-10,8.236851136164301e-10,5.270826440305261e-10,1.3476561376165657e-10,4.704084107122489e-10,4.2503878865206344e-10,6.477146078073994e-11,3.780045544068755e-10,3.893333945981401e-10,1.025796530513166e-12,4.862449534275818e-10,5.902430160383766e-13,6.169124905856155e-10,6.435043496746039e-13,8.674198315183864e-13,1.218871649507111e-10,6.660729969145822e-10
11.7847533632287,2.421120187323099e-11,1.0004507141154424e-09,5.072096308548699e-13,3.7217071324694334e-11,3.855632820389997e-10,3.916411189802068e-10,2.5717391074932167e-10,3.4805629376170735e-12,4.3134494379987114e-10,6.63154585173341e-10,3.589091427363987e-10,7.303754940680123e-10,3.0830099281639595e-10,6.065420754989755e-10,7.90098915137661e-10,2.782458290994717e-10,4.323660062770418e-10,4.8618033931132146e-11,8.629572797343611e-11,9.663738263993847e-10,3.806792548837241e-10,7.710614087909953e-11,8.324371618013684e-11,1.1289435041618345e-09,6.811477933918934e-10,9.776836412295489e-11,3.1230081873235313e-10,9.359668085454287e-13,1.1970448672503355e-11,4.627641310314421e-10,4.444727380680654e-10,3.248147552137913e-10,3.629504469192562e-10,9.247701071938642e-12,7.919534310605737e-10,4.702578952257807e-10,4.326879327434136e-09,3.471685108311765e-10,3.831180049869767e-10,4.6361583985965826e-11,2.9114015469382676e-10,6.885675794136741e-10,7.254577987156016e-13,1.7915955500576952e-10,1.3611753730273358e-09,3.202331307557972e-10,8.619824935843909e-10,1.351289861717723e-09,1.3683805138430156e-10,1.3370345717520214e-11,4.407614264324755e-09,5.561786216334439e-10,1.821002126586797e-09,1.1472196736814773e-11,1.3274097767068035e-10,2.5637800329733038e-11,6.491742642231068e-12,4.562024319865876e-10,3.8905052575620454e-12,8.612271469913702e-11,8.977858513369233e-10,1.0123491152219915e-09,3.690276048913352e-10,7.114803168556773e-10,3.1477012438783256e-10,2.7625660401642224e-10,1.5376777101776206e-09,2.218405813387899e-12,1.1148294231784932e-10,6.258710760313929e-11,1.8293966375809654e-10,4.099189150604049e-10,2.379797478675043e-09,1.200536916990554e-09,1.5821432352455789e-09,7.879808237706064e-10,1.3704086100028682e-10,1.0618033535721818e-09,8.956111451485839e-10,8.843638108023475e-11,6.550312062413041e-10,3.9090485526005507e-10,1.2812385638844282e-12,4.853909655562858e-10,1.2368154236775318e-12,1.0610830861634608e-09,7.444169814299721e-13,3.1592609234863424e-12,2.8380483517945815e-10,8.096069242573836e-10
11.730941704035875,2.25205833117894e-11,9.965714546635625e-10,5.795044448790431e-13,1.2535832895344116e-10,3.645572005257496e-10,9.619098355517421e-10,2.560655759776393e-10,3.301268441466646e-12,1.1423775884306692e-09,7.122525820471516e-10,4.4440921425645705e-10,1.0171465142140447e-09,3.129715451879125e-10,1.7999116274371112e-09,1.1039615646456751e-09,9.777874038114787e-10,6.436471523791417e-10,5.657623387702214e-10,2.32471391188563e-10,1.7816716855174944e-09,2.0387204074071558e-09,6.610694184231616e-10,1.7314165717630331e-10,1.5154144457738828e-09,7.589384532526287e-10,5.855285750649177e-10,7.360448795667949e-10,6.560785164790829e-13,1.427100065205735e-11,1.388675298932429e-09,5.726671415681843e-10,1.2141884600359142e-09,6.759267149148173e-10,1.333566643265887e-11,1.0162171614232753e-09,8.186551688047215e-10,6.005041546038736e-09,5.429328104593107e-10,1.2576094417907885e-09,1.2564290949871193e-10,7.450971735367797e-10,2.0068843313052634e-09,1.5561842286795295e-12,1.366271588797381e-09,3.2109416455419607e-09,5.436873744384095e-10,8.069109645699416e-10,3.057308448321118e-09,9.943599367219596e-11,2.4096973211300037e-11,1.6396238285045344e-08,1.4201667199644171e-09,2.3979693809977294e-09,1.099781918179851e-11,4.700652534110183e-10,6.32802219289078e-11,9.208502600579071e-12,4.871790194789027e-10,4.7160858923619306e-12,2.7097108488000615e-10,1.8267740777109229e-09,1.9529821662188565e-09,3.7063180435737043e-10,2.1008867475220754e-09,5.479769330207932e-10,3.2709000603700865e-10,2.667427925870422e-09,2.833756766290054e-12,5.314680224971926e-10,2.6634880480529887e-10,3.121583482180787e-10,5.039085506684553e-10,3.351952117376697e-09,2.1938768355758008e-09,3.830229239661801e-09,1.674776875610805e-09,6.494802587356674e-10,1.3821285442178622e-09,2.432826311378891e-09,5.249290695644795e-10,1.5404127124576288e-09,3.747907930471938e-10,2.0292544672972253e-12,1.4650390745148497e-09,1.5414465278438361e-12,1.425842957211717e-09,1.407332897488284e-12,3.3271923581418837e-12,6.727871130132542e-10,1.0730626785183793e-09
11.67713004484305,4.3182076005645866e-11,5.755611648404223e-10,1.5710267413082333e-12,3.8809726710630376e-10,4.149360153692427e-10,1.4837166305595283e-09,8.052606130367658e-10,3.969452774877202e-12,1.7594380455356941e-09,4.104507229598217e-10,8.55317432552636e-10,1.4401354450956614e-09,3.5410746662584325e-10,3.776782440197316e-09,1.2984237800646002e-09,1.4303996908774771e-09,4.4659467378438106e-10,1.5276691842350219e-09,7.723536910481237e-10,2.7460987610586486e-09,5.8089333404611785e-09,1.0885101658914892e-09,1.7024140015115767e-10,2.0154866418962474e-09,6.604643790980798e-10,1.5152844978299057e-09,1.1088165573057064e-09,4.059083022158702e-12,1.882487662034204e-11,1.709967066512958e-09,1.0734966988390132e-09,2.849121385611316e-09,2.1018263633211693e-09,2.2022068392494067e-11,1.4496542540504005e-09,1.1428752683048093e-09,1.9103355322436548e-08,3.9966739982497316e-10,2.305199344978678e-09,2.7563420459399724e-10,1.7082670084540115e-09,3.1616552122443953e-09,1.65364043307934e-12,2.4995686024054597e-09,4.025127473860897e-09,5.670238536570347e-10,5.745956128302523e-10,3.925196261899988e-09,3.0684358102935614e-10,4.643609683332498e-11,2.150128593717807e-08,2.4159536558611686e-09,3.2226176394372103e-09,1.573444506352289e-11,1.6448077180571606e-09,1.2893193283291612e-10,8.391692873198855e-12,7.317763508071665e-10,5.291039348177078e-12,5.575597686595084e-10,2.4243377919802065e-09,3.351438433987206e-09,7.891631885223366e-10,2.8831251524121636e-09,1.1593854575125847e-09,1.9620805489494225e-10,3.87244368323626e-09,3.1573249348304795e-12,1.5994758305659783e-09,4.2240248833379224e-10,1.1478217145829727e-09,3.73948358362555e-10,5.369681902263193e-09,2.7909755461008208e-09,5.123686410546264e-09,2.4906112967553087e-09,1.4886048200356705e-09,1.2677890913435358e-09,3.3786748463760268e-09,1.0730728556452854e-09,2.188358431107492e-09,1.352832166248096e-10,4.337551372026999e-12,2.088779951304631e-09,2.1101063421206035e-12,1.885996586003305e-09,2.7893145930068416e-12,5.244907594813617e-12,8.19479965620183e-10,1.3649259780349434e-09
11.623318385650224,6.656595711378224e-11,4.329843899307473e-10,2.6842950241878675e-12,4.875153421430171e-10,6.056389717851947e-10,2.0478702897851003e-09,1.7692690829871118e-09,4.589514388686464e-12,3.065003973454833e-09,4.2083239943894477e-10,1.1728207218728215e-09,1.8835429753339523e-09,1.0922936211696273e-09,3.93237487873719e-09,2.6279529488597046e-09,1.9893078686401025e-09,3.1838429166215024e-10,1.9690799510747764e-09,1.4692052180306448e-09,3.8066016835680466e-09,7.029176220789681e-09,1.9825751225622744e-09,2.489864986193045e-10,2.6088186175716162e-09,1.5472259950243266e-09,3.321381472427469e-09,1.0198808075712497e-09,1.2275955055952219e-11,2.0027535492254998e-11,3.465524912094701e-09,2.809732791908754e-09,4.346581240438128e-09,2.472522949059464e-09,2.6565513106268833e-11,2.6905670491795167e-09,2.2504435233657742e-09,2.3026042117903754e-08,1.1682602672814867e-09,2.237184651316623e-09,8.109507913303454e-10,1.8916410336824114e-09,4.859353643428891e-09,2.0677038994337504e-12,2.797720200387965e-09,4.25466501676832e-09,1.803103580627939e-09,1.2848606049779248e-09,4.6979654979092645e-09,4.744605444070367e-10,6.409731723929236e-11,2.7334402817965385e-08,4.6267108546246554e-09,5.842758652857735e-09,2.2972036428880464e-11,2.804727556516892e-09,1.485913052563852e-10,4.366025919519017e-12,1.6430443144937965e-09,5.7594183211686666e-12,6.57749176465245e-10,3.59577529414641e-09,6.608783470502919e-09,6.564963719095074e-10,4.070935519222161e-09,3.2172428585393854e-09,3.226055291171686e-10,5.032771218736276e-09,5.62464570859996e-12,2.5775145543373827e-09,1.2951864251572518e-09,1.424836717126555e-09,5.081214036068788e-10,8.704047567945762e-09,4.188236030161634e-09,5.547782787609761e-09,3.7536724146401306e-09,1.728718950008133e-09,1.894581373884945e-09,4.38375397115241e-09,1.294336826633208e-09,3.640414505357927e-09,2.1956873184803047e-10,6.435746108637087e-12,2.3831648677969995e-09,3.4406173225268184e-12,2.128202042784304e-09,9.655701255208884e-12,5.793568499697643e-12,1.3847987399020692e-09,2.0264246987246624e-09
11.5695067264574,6.864869192500173e-11,1.7372829041547158e-09,2.959162638042101e-12,6.295418685804043e-10,1.2194405824035724e-09,3.476353760342999e-09,1.8904426659391376e-09,8.681525494773735e-12,5.534670977806641e-09,1.2041253757040734e-09,2.7724437769781466e-09,2.223755165652877e-09,1.5999612386597896e-09,3.4673974749523232e-09,4.978085374777502e-09,2.2306841664367315e-09,1.5111630475461496e-10,1.6987773730116741e-09,2.438520338930403e-09,4.34591431733274e-09,5.335035706565178e-09,2.9065262395307703e-09,4.714085172209116e-10,2.4215030153489774e-09,2.4458276538529673e-09,5.36598422672783e-09,1.234332956569234e-09,2.4024839051983736e-11,1.5614012744896996e-11,3.650634486258598e-09,4.003607538735619e-09,3.788274134271104e-09,1.9991084566144473e-09,2.1970312825174944e-11,4.359433162434098e-09,2.509265440825277e-09,2.3896727544628793e-08,2.3919718833331678e-09,1.986176697174502e-09,2.9552686601032484e-09,1.7489132760401245e-09,5.3379553100829745e-09,2.1186260921582797e-12,2.0760068234413357e-09,3.4593435757960617e-09,4.369633357315248e-09,5.540550879049888e-09,3.6804186588204572e-09,2.078012282420678e-09,6.55757526307902e-11,3.5769863759627255e-08,6.938092968503369e-09,9.73623698813801e-09,2.450568666834923e-11,3.779244713255401e-09,2.9198137379818674e-10,5.120530511905417e-12,2.2394055089866544e-09,2.307413906806751e-11,7.662609886363005e-10,4.608600441512633e-09,1.0950066615094413e-08,1.4517792083543783e-09,4.0352548794458774e-09,7.089142146462032e-09,2.526259971161247e-10,6.904083801587261e-09,9.634691945196487e-12,3.522245911306673e-09,2.1951206949518007e-09,1.8580153397644581e-09,7.175104117756299e-10,1.0013587933594566e-08,3.4331646613258574e-09,3.3753586677370327e-09,5.0923261334906975e-09,2.1812665083355205e-09,2.4591440498429733e-09,3.6374440477684e-09,1.6536356047163226e-09,4.172798064425642e-09,5.899632350766733e-10,6.631203666811125e-12,2.062281321271159e-09,3.858779869966885e-12,2.1019376551057863e-09,1.2675150205184781e-11,9.893854494264171e-12,1.4411319802339756e-09,1.5651008392554582e-09
11.515695067264575,5.6181527467924256e-11,2.811258753646599e-09,2.5519947772133797e-12,1.0327750721402235e-09,1.7105918336353172e-09,4.061124573675357e-09,3.4167781876196627e-09,1.0652116385868809e-11,5.930306053437614e-09,1.6283538555281726e-09,4.2819279999854856e-09,2.5926031617596145e-09,2.6825413922084568e-09,3.5501448665364793e-09,7.891661511479232e-09,3.124988328530014e-09,2.6633779731074303e-10,1.5414351452044402e-09,2.0671284540399336e-09,4.271509281815971e-09,3.224117671800643e-09,4.781287467700248e-09,6.513913060685503e-10,1.672240587819852e-09,2.9388470279236475e-09,4.613421847976412e-09,4.556894830034394e-09,4.1076671859708475e-11,9.206350667755986e-12,3.373168895307867e-09,5.98617214108026e-09,3.7121814549165965e-09,1.9938426255536004e-09,1.3638629986269632e-11,7.94844539634472e-09,2.9618491663040287e-09,9.079082339283048e-09,3.4482456894484376e-09,3.617353477278916e-09,4.1814024339980236e-09,3.610161435185052e-09,5.635541472001351e-09,2.2331817225803386e-12,4.006485104190851e-09,4.0992249294910995e-09,5.574471817315477e-09,1.03650791047999e-08,3.169945721807982e-09,4.2206274783557586e-09,5.339591887892784e-11,5.0283225338315974e-08,8.658052164332145e-09,9.689801011959944e-09,2.6649923525231436e-11,4.818743745174526e-09,5.33692165019359e-10,3.008641655348675e-11,2.127617346026395e-09,4.372914952749803e-11,4.6235210434674753e-10,5.7996537720795874e-09,1.226950084540443e-08,2.1296527185062898e-09,7.765737131143294e-09,1.0196531275886788e-08,1.7991017438694279e-09,8.713535993862573e-09,9.535848103539445e-12,3.706891786180658e-09,2.438762690054168e-09,3.017257924651504e-09,7.763248786856289e-10,7.58115230637193e-09,2.435112977313985e-09,1.7409500160591992e-09,6.417556285862008e-09,1.958505773993594e-09,2.843358502924086e-09,3.2623708603028456e-09,2.0897309919069305e-09,5.036283508125151e-09,1.9769877458564967e-09,7.496359805356872e-12,1.865268568296943e-09,4.5024248876183936e-12,1.6842863852305684e-09,1.10847095396335e-11,8.087809849190514e-12,1.5799021288543917e-09,2.771374594786186e-09
11.461883408071749,5.250538222347506e-11,2.756876514853847e-09,2.933622030498429e-12,4.1470055592904195e-09,1.8740473890837154e-09,3.548289076676481e-09,3.650028482118997e-09,7.914344585996216e-12,7.4309936496074955e-09,1.48234311984203e-09,5.0335651390606184e-09,3.2482771989532768e-09,4.188142578604998e-09,4.3272303969136744e-09,1.1446618495710917e-08,5.651919921946017e-09,1.0115894999104127e-09,4.753175047450767e-09,2.849025742633903e-09,7.0705489256755524e-09,5.8327810925873886e-09,6.073545348783084e-09,1.710346779200228e-09,8.316021618393292e-10,4.330104865557552e-09,5.17589811978913e-09,1.0460740061483288e-08,3.6014199066846495e-11,5.462751591227984e-12,2.6746453786963825e-09,9.426858107030147e-09,4.764510906311818e-09,4.700451895415991e-09,1.1331441753554663e-11,9.604765278561808e-09,2.4313341710175904e-09,2.2563806414861644e-08,5.543780784727431e-09,9.588004811110228e-09,4.292214086184548e-09,7.972806776050467e-09,8.753812341688877e-09,3.783736908148436e-12,9.571900643188414e-09,5.654654895239427e-09,4.752646519277187e-09,1.0852298305356045e-08,5.567295375300404e-09,6.241506805414276e-09,3.807941232310568e-11,4.6362922730276925e-08,1.1639552932875154e-08,9.4933613974988e-09,2.7187467177960057e-11,7.933242709291498e-09,5.504163557624219e-10,6.147783293439191e-11,1.274921791476061e-09,7.241337977838107e-11,2.4770962752188494e-09,1.0041068120455146e-08,1.444782198630716e-08,2.8369047898245823e-09,1.3536027989148423e-08,1.2564145942851295e-08,2.292801842885393e-09,1.007805379035092e-08,8.63995647407368e-12,5.766654081565336e-09,1.9270447131973216e-09,3.866632957441998e-09,1.6136577845260443e-09,3.829024137307265e-09,1.2656966745909442e-09,2.880325943545738e-09,1.0057441924386549e-08,4.43644218876498e-09,1.6980219040314755e-09,3.937049893180537e-09,4.790764490926773e-09,8.676450758419658e-09,2.019740388341854e-09,1.3870295915269015e-11,4.62847171067453e-09,7.655515842808697e-12,1.2013849365413882e-09,4.993343129583236e-12,5.462241366721287e-12,1.7314961342007129e-09,2.495788615047224e-09
11.408071748878925,8.927213657582057e-11,1.4795614786105839e-09,5.8912577961709616e-12,6.983263794234287e-09,2.8888666462879417e-09,4.900878531456824e-09,4.436124542875952e-09,7.901609293203634e-12,9.533260459450189e-09,1.0982567879317385e-09,8.04912432929118e-09,4.511796280881583e-09,4.487663459920424e-09,4.0403382895310214e-09,1.3929316508149433e-08,8.08162254443905e-09,3.114086529860672e-09,7.918606231080357e-09,4.297673037274289e-09,9.21723994117193e-09,8.262154060202816e-09,6.038094283619432e-09,2.339630271138444e-09,7.846798555227564e-10,4.409814140711938e-09,4.666611094168694e-09,1.1270858315856311e-08,4.5114811237249305e-11,1.899189007360346e-11,4.3264817093917126e-09,1.0913675252435528e-08,4.8395527406796965e-09,8.48907515157638e-09,2.074293712553294e-11,1.5962087775044893e-08,1.7767419435573057e-09,6.147093588870108e-08,8.725648064240885e-09,1.2383837549968334e-08,2.7851902032767975e-09,1.1658880169485842e-08,1.2042001115795237e-08,3.5976315515708353e-12,1.1404378496949934e-08,6.568583022819001e-09,2.3753921403155016e-09,7.530202529538378e-09,1.0384881096556566e-08,8.579829321338446e-09,3.804609142537952e-11,4.7518962980109153e-08,1.295595737997658e-08,1.901170381975121e-08,3.747830125061303e-11,8.735758764134599e-09,9.185777611034835e-10,7.944048566869993e-11,6.81672167507066e-10,1.168516497765981e-10,7.838457320764907e-09,1.2757366294819332e-08,1.848507260447224e-08,3.021295288848617e-09,1.4854710222348524e-08,1.2215758522143414e-08,3.9841610361068584e-09,7.241293790379351e-09,1.1799737512906537e-11,6.973624708091135e-09,8.531102287914368e-10,4.371458054081578e-09,2.5679117795588804e-09,1.5482327784026008e-09,2.333588633482979e-09,6.971610280979756e-09,1.2083218207694123e-08,5.294831591068579e-09,3.0656044565027836e-09,5.063352287410326e-09,6.5390379730110045e-09,1.2082407280739509e-08,3.0504197635845624e-09,1.7080442138241817e-11,8.302475832639078e-09,8.676800140492453e-12,9.06807571091069e-10,4.361677794562116e-12,2.3460685612135337e-12,1.5139199064940542e-09,3.4085369412901936e-09
