frequency,2019P144,2019O3,2019T69,2019V2,2019V3,2019P191,2019P142,2019P195,2019P209,2019V4,2020T73,2019S93,2020P228,2020P216,2020P160,2020P217,2020T75,2020P213,2020E1,2019S81,2020T74,2020P210,2019P105,2020P186,2020P227,2020P225,2019F2,2020P218,2019P102,2019P159,ASFS30UCB3,2020M26,2019P199,2019T63,2019P205,2019P201,2019T66,2019P200,2019T65
11.892376681614351,2.185406007283791e-12,4.947933027235075e-11,2.3552944803948175e-10,3.885074607793557e-10,1.5891224505451078e-10,4.0256396556695754e-10,9.825397722926757e-13,2.3370664124409953e-10,3.570914006479286e-10,1.153861883567894e-09,3.5152943280489317e-10,1.6305860414232803e-10,8.902739173713302e-10,5.962078243322841e-10,2.258504223962301e-10,3.414246720792089e-11,1.1198523971506188e-10,1.7712017173819718e-11,2.447672743155854e-10,2.3069818627142964e-10,4.1849512075186967e-10,4.708015895890908e-12,1.3953201415179067e-09,2.287572910310477e-10,3.195386551011905e-10,2.783085213311078e-10,7.25778540721249e-14,3.800895275227277e-10,5.535839733838605e-10,1.2449753100783982e-10,1.1431569422433903e-10,8.325146163628406e-10,3.175786931221805e-10,1.282479129508645e-10,1.6833011944216957e-09,1.230073216053733e-10,1.8325235570284827e-10,2.5369425021788184e-10,7.167613485104062e-11
11.838565022421525,5.6451167518414905e-12,1.545265864710954e-10,8.041026645942656e-10,1.4651944802414427e-09,4.160075324408197e-10,1.0883103508898677e-09,5.043853676563234e-12,2.3581019051692445e-10,3.3943339007532083e-10,1.5250897878349981e-09,1.2785127725875518e-09,1.0283545045791216e-09,3.3468532651271793e-09,1.3919984871095224e-09,5.82345524069364e-10,5.593173219019214e-11,2.885035773770235e-10,5.422358825381423e-11,2.8150884235771274e-10,5.992234504755337e-10,6.580997074213579e-10,1.4455897217940781e-11,2.8286586734741624e-09,2.9036843244361265e-10,1.8069746616835945e-09,6.529440158972413e-10,5.52057950846529e-13,5.248720149657762e-10,1.1374207134139446e-09,1.7812361190380915e-10,2.633662662424185e-10,8.6615338424178e-10,3.9626965786462043e-10,2.024853709319039e-10,2.3573305751273887e-09,2.0472866644805013e-10,4.224029987864349e-10,5.040999513517156e-10,1.3662148509762415e-10
11.7847533632287,1.4097632246903907e-11,1.9270681735138802e-10,2.1906017238878077e-09,1.915096824096855e-09,5.539936111229506e-10,1.5824357573076277e-09,1.0530443146286334e-11,4.707275186335905e-10,6.151058549820682e-10,1.1705172545648898e-09,2.13885079374758e-09,3.6722100718381465e-09,5.286087431148242e-09,1.8145216912752465e-09,6.054215188275385e-10,1.914584290513552e-10,3.5164261599836477e-10,2.9158882101072733e-10,1.3026108515513419e-09,7.043780491955492e-10,1.5019342914928717e-09,1.4217985187843937e-11,3.005121735075113e-09,3.9061808627669035e-10,3.6361703617757006e-09,2.1026337185292057e-09,1.4747404189530903e-12,6.737984294945092e-10,1.4941603576356338e-09,3.5531750108982586e-10,1.3753384102089912e-09,1.451887941579638e-09,6.552449375095053e-10,2.2900736773639703e-10,3.3055596425026903e-09,6.011661632017132e-10,8.20970110146746e-10,8.664261799872414e-10,3.0522672821244657e-10
11.730941704035875,3.005150073165388e-11,2.438860298162041e-10,2.2666740037743817e-09,1.7968207802762624e-09,4.759934761485345e-10,2.721317931332818e-09,1.1401786443903363e-11,6.644804558086325e-10,1.3190507213126612e-09,1.9743495835988144e-09,3.6588673369398837e-09,5.905721691846934e-09,5.783960399823961e-09,1.7749812275518038e-09,7.843327550675309e-10,2.8945705418089077e-10,6.322434701534302e-10,1.1112334234835138e-09,1.7173393413461872e-09,6.71680528937894e-10,1.7240680370046313e-09,5.540546750336518e-11,2.268540261117846e-09,4.331975581484228e-10,6.605120154845394e-09,4.962577707344395e-09,1.5489462886696425e-12,5.291126081050927e-10,1.23079442027397e-09,3.534609910166798e-10,2.3790780709691983e-09,4.637771406934697e-09,8.747140987241499e-10,3.7017235787479624e-10,6.539409829072125e-09,7.63184539994832e-10,1.0734881431053224e-09,1.2099348208033036e-09,5.156696479155425e-10
11.67713004484305,5.899819281060011e-11,8.535214588286449e-10,2.0029875755657733e-09,1.1128524390695246e-09,3.6890139526555574e-10,4.205744424190637e-09,4.0015334781261706e-11,8.873273505064163e-10,6.0502805056272755e-09,3.6669836369193174e-09,8.26442927297216e-09,7.3289604001367714e-09,1.5558313360491525e-08,1.30639975779266e-09,2.1324718952105556e-09,2.716314434505615e-10,1.413108538238743e-09,1.11256415670273e-09,2.1780260606910515e-09,7.485443417181955e-10,2.0528991106951777e-09,1.3298750939164564e-10,8.367083026771132e-10,6.44617310748087e-10,8.201113030842792e-09,6.295377789426731e-09,1.3318224647137606e-12,6.215528906919626e-10,1.667077428408189e-09,6.168770881306584e-10,2.9100371919771276e-09,1.5221138530751128e-08,8.653035713531609e-10,1.2564079132560656e-09,1.2018129965878221e-08,7.207049863601892e-10,1.4879425476991284e-09,2.8963528392344126e-09,9.481252438196095e-10
11.623318385650224,5.1116922810863616e-11,1.4074367194565342e-09,2.1753774423680106e-09,9.46387677328463e-10,3.26687218673862e-10,8.81902251674062e-09,1.0175474385435054e-10,3.6534040025408584e-09,1.5379441254543297e-08,5.8939314508521765e-09,1.3537160030423761e-08,6.958052690096089e-09,2.799966234543747e-08,2.4848466675687574e-09,4.9970479351057755e-09,1.865193800299039e-10,4.134084225571344e-09,1.4917909240230556e-09,5.103293311047608e-09,8.502341197113293e-10,2.195169604870306e-09,1.4683874693178905e-10,1.6663925720364992e-09,8.075934712422677e-10,7.010487346982376e-09,6.488602716721037e-09,5.008101309233797e-13,5.561647066673887e-10,2.646500765972408e-09,1.955252065652533e-09,3.0292044888903295e-09,1.753424774658677e-08,3.365324786270181e-09,2.110386346701146e-09,2.0578862684932554e-08,6.965965898360323e-10,3.774116798068938e-09,2.9316817459164844e-09,1.5289532688325153e-09
11.5695067264574,1.0068282485781913e-10,1.587033534112644e-09,2.8272195154212695e-09,1.917557952111204e-09,5.398458258591561e-10,1.9005411737140725e-08,1.358901314218239e-10,3.5403978330444043e-09,2.7276330275102148e-08,6.016929232938159e-09,1.4026438843213825e-08,7.306607781681e-09,3.236553409041394e-08,4.804125951582419e-09,6.889192787523771e-09,3.1649477640223144e-10,5.5712675004599645e-09,2.13500577464654e-09,7.493172674848541e-09,7.350488950516762e-10,3.3617125637134783e-09,1.2017286817418013e-10,5.2925967952959904e-09,1.1449798625813822e-09,3.830986382617658e-09,5.721658764647261e-09,6.797924859303056e-13,6.016079117789144e-10,3.427038531374122e-09,4.044241585477594e-09,3.188935611912661e-09,2.0866690485571965e-08,5.249470687541172e-09,2.3841467168479705e-09,3.147536852303769e-08,1.309128193283466e-09,6.60942056769966e-09,4.274562062587536e-09,1.6723557460229445e-09
11.515695067264575,9.18743478665807e-11,1.0517680609612068e-09,2.7261659022646127e-09,2.2335868759672837e-09,4.848906219802893e-10,3.040092267463395e-08,2.2089600339101668e-10,7.871376955663328e-09,3.168618854382206e-08,4.2464683175958406e-09,1.758032749917159e-08,5.143290931013967e-09,2.196303073958452e-08,4.406202556505293e-09,5.437082883943421e-09,3.3355388304427376e-10,5.180900277767398e-09,2.294793922025837e-09,8.983268843800009e-09,3.3121964641115554e-10,3.3688230343365366e-09,4.58784712402162e-11,1.1675853073028291e-08,1.5780087515204928e-09,2.595097199563637e-09,1.0417990444495716e-08,3.060168063258125e-12,1.1752399073291039e-09,3.5216671508185554e-09,6.5369809192540025e-09,2.785068149678737e-09,1.392992925978969e-08,1.1635572416971824e-08,1.8420173796328908e-09,3.4862573868337036e-08,4.71502944141811e-09,6.0953873691464704e-09,3.0947862557964084e-09,3.1435801674335383e-09
11.461883408071749,1.4498095319037288e-10,1.478897334493193e-09,1.2698595616081037e-09,2.291390897942398e-09,6.118983148081809e-10,2.8246215920572357e-08,4.711835428856409e-10,7.894175673956916e-09,3.072227022834683e-08,4.928781322669304e-09,2.0195891722178877e-08,3.1018078756978896e-09,1.527021425880983e-08,7.219184252811619e-09,3.2178011624672916e-09,5.227561588798327e-10,5.273030406576479e-09,2.881037029604675e-09,8.916331168560284e-09,1.0193471282433948e-10,4.165405350152806e-09,1.3531749507245796e-10,1.549306395576629e-08,1.6538246216359729e-09,8.714834936060475e-09,2.4175466767216337e-08,4.941823633602994e-12,1.171269550107235e-09,3.6460215632062924e-09,5.5250719588027994e-09,1.992433906212031e-09,5.2600054817881996e-08,1.9007811148986554e-08,1.916870337282314e-09,4.109252678697142e-08,5.3097082276047604e-09,4.3771315185128925e-09,9.202263426491602e-09,3.387848810165797e-09
11.408071748878925,2.792986234103228e-10,3.727848007019023e-09,2.8470893579642977e-09,2.64414323999812e-09,1.1840248466128134e-09,2.5484807156359957e-08,7.538722937712537e-10,7.776344174836769e-09,3.1711622766411886e-08,8.521699979640817e-09,2.00281434200194e-08,9.206068768266186e-09,1.1359399510588795e-08,1.2921754387474058e-08,4.077636557863434e-09,9.477062025835467e-10,6.254174056101471e-09,1.8528682459318237e-09,7.586772289623043e-09,3.234400052448384e-10,5.095090730478683e-09,2.6867860901617884e-10,1.703946757143978e-08,1.3743525031087984e-09,2.187568151946341e-08,2.4990771904762145e-08,4.806287031431406e-12,1.7762345309236746e-09,4.178841394744393e-09,4.979914809385219e-09,6.875852842541033e-09,5.8063330787905794e-08,3.056077130201e-08,1.8593120914502096e-09,3.201306194638904e-08,5.836443027784851e-09,3.2115103183149963e-09,8.168771738525405e-09,3.617681342536796e-09
