datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind,x,y,x_anom,y_anom,x_tide,y_tide,x_notide,y_notide,u_tides,v_tides
2020-05-01 00:00:00,2019P203,15.32077,83.80039,0.011846236213775,-0.0173510019658695,0.0210092975049658,-3927.724599633843,4.026000022888184,1.965999960899353,584029.2727105258,-332843.8804698373,,,,,,,,
2020-05-01 01:00:00,2019P203,15.32427,83.79991,0.0085877496081483,-0.0093545712825636,0.0126987183295329,-3930.6683153621752,3.881999969482422,2.38700008392334,584094.9082927789,-332834.0192742334,,,,,,,,
2020-05-01 02:00:00,2019P203,15.32604,83.79977,0.0133467855526274,-0.0013573614835163,0.0134156294964029,-3931.587345837161,3.7890000343322754,2.7130000591278076,584118.4040502523,-332823.504249823,,,,,,,,
2020-05-01 03:00:00,2019P203,15.33246,83.79982,0.0189362803786486,0.0043752636662031,0.0194351652096808,-3931.6214191569193,3.502000093460083,3.0360000133514404,584150.9737090631,-332755.36314664426,,,,,,,,
2020-05-01 04:00:00,2019P203,15.33766,83.80006,0.0199780498969823,0.0117688139184572,0.0231867949215408,-3929.946253915059,3.265000104904175,3.315000057220459,584158.5160036149,-332689.44333559443,,,,,,,,
2020-05-01 05:00:00,2019P203,15.34472,83.8006,0.0250274257661446,0.0208214345378899,0.0325561695642396,-3925.478202145033,2.86899995803833,3.5910000801086426,584148.5278433923,-332588.4361410344,,,,,,,,
2020-05-01 06:00:00,2019P203,15.35302,83.80144,0.0261976467470979,0.0280631688533238,0.0383908601255025,-3921.070373917739,2.496000051498413,4.132999897003174,584117.3959588668,-332458.67380892375,,,,,,,,
2020-05-01 07:00:00,2019P203,15.3608,83.80246,0.024678667248216,0.0315333636518761,0.0400423480873641,-3915.774407740597,2.2980000972747803,4.889999866485596,584066.2273705937,-332324.55844547134,,,,,,,,
2020-05-01 08:00:00,2019P203,15.36817,83.80353,0.0358972414130554,0.0191637516552085,0.0406922759079618,-3910.03737856217,2.0850000381469727,5.441999912261963,584007.9348483393,-332191.956759904,,,,,,,,
2020-05-01 09:00:00,2019P203,15.38284,83.80373,0.0077718429713345,0.0178018835061156,0.0194244330557263,-3905.565567124899,1.9160000085830688,5.5929999351501465,584074.0823091862,-332031.6793736783,,,,,,,,
2020-05-01 10:00:00,2019P203,15.37294,83.80471,-0.0244437507203283,0.0205183178709414,0.0319139204349849,-3906.544677366949,0.9279999732971193,5.578000068664551,583924.161761897,-332079.9668148736,,,,,,,,
2020-05-01 11:00:00,2019P203,15.36783,83.80509,-0.0237397661303395,0.0105623218468784,0.0259834397014764,-3907.287256515392,0.2669999897480011,5.10699987411499,583858.6610944709,-332111.63344193844,,,,,,,,
2020-05-01 12:00:00,2019P203,15.35836,83.80541,-0.0383431854269562,0.0096576934929368,0.0395407500218378,-3909.35310274732,-0.5220000147819519,4.73799991607666,583773.5477930676,-332190.9381866085,,,,,,,,
2020-05-01 13:00:00,2019P203,15.34428,83.80573,-0.0488096549877429,0.0111656958599337,0.0500705021350799,-3910.986399493267,-1.524999976158142,4.831999778747559,583661.6879912198,-332317.1861813722,,,,,,,,
2020-05-01 14:00:00,2019P203,15.32838,83.80615,-0.0513793148674447,0.0120700729923136,0.0527780319667928,-3909.9862141472145,-2.2839999198913574,5.307000160217285,583529.8022974824,-332456.55797902524,,,,,,,,
2020-05-01 15:00:00,2019P203,15.31272,83.80653,-0.0427652528002546,0.0099560113163452,0.0439088716366166,-3907.495702523724,-2.3239998817443848,6.001999855041504,583403.0522964279,-332595.5905065993,,,,,,,,
2020-05-01 16:00:00,2019P203,15.30211,83.80681,-0.0241250384671585,0.0024126877489274,0.0242453818946146,-3903.243699344029,-1.6480000019073486,6.440999984741211,583315.030848879,-332688.5497354743,,,,,,,,
2020-05-01 17:00:00,2019P203,15.2979,83.80669,-0.0085298715825173,-0.0086002376298145,0.0121129185790838,-3901.889412050218,-0.7080000042915344,6.1570000648498535,583301.9069244241,-332737.86897932977,-443.6764899020782,93.53250563051552,-149.66865318876273,6.363540915293129,-294.00783671331544,87.16896471522239,,
2020-05-01 18:00:00,2019P203,15.29687,83.80624,-0.0012207776504743,-0.020971956112628,0.0210074568013811,-3902.1770081336936,-0.0579999983310699,5.500999927520752,583338.3862871926,-332772.5773099479,-419.9954207846895,126.50327882211423,-97.88184599335258,23.878503674199564,-322.1135747913369,102.62477514791466,0.016885054480920703,0.007461203587512034
2020-05-01 19:00:00,2019P203,15.29715,83.8053,-0.0007329908606029,-0.0321368784297859,0.0321452365182241,-3904.597259055819,0.2300000041723251,4.683000087738037,583428.7092315202,-332820.3241389144,-351.85196325718425,152.21616647491464,-28.096260926133684,60.084206745379774,-323.75570233105054,92.13195972953487,0.020546508689870464,0.011191153501007809
2020-05-01 20:00:00,2019P203,15.29642,83.80411,-0.0067267478825402,-0.0380209856244427,0.0386114553588613,-3908.662159015884,0.2039999961853027,3.913000106811523,583536.7543150805,-332891.8133737759,-275.4701264599571,159.84824149578344,50.05301657371476,104.45480888145579,-325.5231430336719,55.39343261432765,0.02119177409037023,0.011725322767337303
2020-05-01 21:00:00,2019P203,15.29302,83.80278,-0.0139111440188759,-0.0399823846732381,0.0423333321635882,-3912.337969915808,0.0820000022649765,3.2820000648498535,583642.4906133375,-332998.039920113,-210.81221707270015,137.92539577221032,124.48451252453197,144.50653067020835,-335.2967295972321,-6.581134897998027,0.018496600331932945,0.008963723985429408
