floe_id,datetime,latitude,longitude,x,y
1,2003-03-31 12:48:56,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-01 12:10:06,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-01 13:31:49,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-02 14:14:35,75.92181,-19.12525,668774.6,-1378833.2
1,2003-04-03 11:57:54,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-03 13:19:33,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-04 12:40:48,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-04 14:02:21,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-05 13:07:18,75.9229,-19.12726,668673.7,-1378748.2
1,2003-04-06 12:28:33,75.92338,-19.12748,668645.4,-1378703.5
4,2003-04-01 12:10:06,73.95106,-19.47724,753821.8,-1578805.8
4,2003-04-01 13:31:49,73.95563,-19.47282,753726.6,-1578293.4
4,2003-04-02 11:15:06,73.94949,-19.47424,753979.3,-1578923.5
4,2003-04-02 14:14:35,73.95272,-19.4834,753573.3,-1578722.1
4,2003-04-03 11:57:54,73.95274,-19.48649,753487.1,-1578760.2
4,2003-04-03 13:19:33,73.95402,-19.48195,753551.5,-1578573.4
13,2003-04-01 12:10:06,73.6499,-19.80984,758800.1,-1613251.5
13,2003-04-01 13:31:49,73.64841,-19.80659,758961.2,-1613356.6
13,2003-04-02 11:15:06,73.64813,-19.80791,758937.3,-1613402.0
13,2003-04-02 14:14:35,73.64798,-19.80819,758936.7,-1613420.9
34,2003-04-01 12:10:06,75.02695,-14.62458,824692.9,-1407037.8
34,2003-04-01 13:31:49,75.01373,-14.64055,825036.5,-1408523.5
34,2003-04-02 11:15:06,74.80763,-14.92142,829499.7,-1432196.1
34,2003-04-02 14:14:35,74.79758,-14.92877,829871.1,-1433261.0
34,2003-04-03 11:57:54,74.70487,-15.0689,831460.6,-1444139.9
34,2003-04-03 13:19:33,74.69914,-15.07444,831635.9,-1444767.0
34,2003-04-04 12:40:48,74.54496,-15.31058,834091.5,-1462945.9
34,2003-04-04 14:02:21,74.53689,-15.31723,834362.1,-1463815.1
50,2003-04-01 13:31:49,72.88817,-17.78294,853907.5,-1660308.1
50,2003-04-02 11:15:06,72.74244,-17.80835,860543.2,-1675036.2
50,2003-04-02 14:14:35,72.73247,-17.8109,860972.8,-1676056.0
50,2003-04-03 11:57:54,72.62232,-17.82159,866231.7,-1687068.1
50,2003-04-03 13:19:33,72.62355,-17.82198,866157.8,-1686952.7
51,2003-04-01 13:31:49,73.27358,-20.92049,744357.5,-1665629.4
51,2003-04-02 11:15:06,73.2736,-20.92594,744197.8,-1665697.3
51,2003-04-02 14:14:35,73.27316,-20.92742,744174.9,-1665761.8
51,2003-04-03 11:57:54,73.27328,-20.92861,744134.6,-1665764.8
51,2003-04-03 13:19:33,73.27271,-20.92717,744202.3,-1665804.1
54,2003-04-01 13:31:49,72.94489,-17.22515,867105.0,-1646362.1
54,2003-04-02 11:15:06,72.71422,-17.28095,877378.3,-1669810.5
54,2003-04-02 14:14:35,72.70064,-17.28952,877828.0,-1671273.0
54,2003-04-03 11:57:54,72.55121,-17.39919,882294.8,-1687616.1
54,2003-04-03 13:19:33,72.55212,-17.3967,882321.3,-1687488.5
54,2003-04-04 12:40:48,72.35082,-17.5349,888536.1,-1709403.2
54,2003-04-04 14:02:21,72.34017,-17.53389,889110.4,-1710434.5
58,2003-04-02 11:15:06,80.17832,-1.05283,740120.1,-767832.4
58,2003-04-02 14:14:35,80.13329,-1.08176,743140.3,-771745.3
58,2003-04-03 11:57:54,79.96879,-1.33519,752112.2,-788008.9
58,2003-04-03 13:19:33,79.92267,-1.3689,755121.8,-792094.5
58,2003-04-04 12:40:48,79.72971,-1.80953,763422.8,-813233.7
58,2003-04-04 14:02:21,79.66599,-1.87653,767226.8,-819203.5
58,2003-04-05 11:45:41,79.50558,-2.03438,776905.0,-834131.6
58,2003-04-05 13:07:18,79.48573,-2.05803,778036.8,-836038.4
61,2003-04-02 11:15:06,80.93356,4.32064,746322.1,-641470.6
61,2003-04-02 14:14:35,80.92088,4.27302,746836.5,-642992.8
61,2003-04-03 11:57:54,80.79816,4.05583,754496.5,-654584.2
61,2003-04-03 13:19:33,80.76501,3.96844,756223.5,-658106.6
61,2003-04-04 12:40:48,80.62519,3.48987,762114.0,-674501.8
61,2003-04-04 14:02:21,80.5922,3.3611,763284.3,-678602.8
66,2003-04-02 11:15:06,79.91258,1.63362,796375.3,-752210.1
66,2003-04-02 14:14:35,79.8718,1.52447,798170.9,-756788.3
66,2003-04-03 11:57:54,79.67735,1.085,807633.6,-777610.5
66,2003-04-03 13:19:33,79.64711,1.00281,808892.0,-781061.3
66,2003-04-04 12:40:48,79.38981,0.42109,820934.1,-808955.1
68,2003-04-02 11:15:06,72.37115,-19.10773,840298.1,-1731120.1
68,2003-04-02 14:14:35,72.36047,-19.11927,840466.4,-1732354.7
68,2003-04-03 11:57:54,72.24856,-19.32764,839534.9,-1746580.2
68,2003-04-03 13:19:33,72.24946,-19.32322,839625.9,-1746425.0
68,2003-04-04 12:40:48,72.11253,-19.54698,839324.7,-1763400.4
68,2003-04-04 14:02:21,72.10377,-19.54557,839785.9,-1764257.8
70,2003-04-02 11:15:06,73.8232,-16.45759,842689.8,-1549305.6
70,2003-04-02 14:14:35,73.81294,-16.47146,842855.7,-1550504.5
70,2003-04-03 13:19:33,73.70671,-16.64757,843657.6,-1563413.4
70,2003-04-04 12:40:48,73.547,-16.78124,848351.0,-1580925.0
70,2003-04-04 14:02:21,73.54048,-16.78876,848483.9,-1581670.9
70,2003-04-05 11:45:41,73.51347,-16.79516,849718.4,-1584396.5
70,2003-04-05 13:07:18,73.51138,-16.79382,849864.7,-1584580.3
73,2003-04-02 11:15:06,72.65741,-18.05924,857465.9,-1687181.9
73,2003-04-02 14:14:35,72.64761,-18.06082,857911.2,-1688173.5
73,2003-04-03 11:57:54,72.53425,-18.05906,863651.9,-1699340.6
73,2003-04-03 13:19:33,72.53498,-18.05647,863692.4,-1699229.9
73,2003-04-04 12:40:48,72.3404,-18.14639,870764.1,-1719819.4
75,2003-04-02 11:15:06,73.2501,-17.10504,854758.1,-1614700.5
75,2003-04-02 14:14:35,73.23737,-17.10951,855290.5,-1616011.2
75,2003-04-03 11:57:54,73.12072,-17.16066,859872.4,-1628182.6
75,2003-04-03 13:19:33,73.1122,-17.16872,860083.5,-1629136.7
76,2003-04-02 11:15:06,73.77848,-17.06798,828450.4,-1562558.0
76,2003-04-02 14:14:35,73.77034,-17.07908,828568.4,-1563512.8
76,2003-04-03 11:57:54,73.69105,-17.18035,829890.7,-1572720.4
76,2003-04-03 13:19:33,73.68564,-17.18672,829994.7,-1573341.3
76,2003-04-04 12:40:48,73.54575,-17.32059,833496.1,-1588963.2
76,2003-04-04 14:02:21,73.54137,-17.32716,833538.8,-1589487.6
76,2003-04-05 11:45:41,73.49536,-17.34203,835486.5,-1594207.4
76,2003-04-05 13:07:18,73.49401,-17.34466,835482.4,-1594377.6
77,2003-04-02 11:15:06,72.26909,-18.59576,860763.8,-1733675.2
77,2003-04-02 14:14:35,72.25892,-18.6084,860882.8,-1734875.5
77,2003-04-03 11:57:54,72.14413,-18.82875,859817.7,-1749595.9
77,2003-04-03 13:19:33,72.14378,-18.82733,859877.9,-1749609.2
81,2003-04-02 11:15:06,73.79135,-18.20011,796774.4,-1577353.1
81,2003-04-02 14:14:35,73.7805,-18.20986,797046.1,-1578558.1
81,2003-04-03 11:57:54,73.69401,-18.32019,798294.1,-1588625.8
81,2003-04-03 13:19:33,73.68621,-18.32448,798561.9,-1589455.1
81,2003-04-05 11:45:41,73.47757,-18.50797,803751.0,-1612636.6
81,2003-04-05 13:07:18,73.4777,-18.50636,803789.9,-1612601.6
82,2003-04-02 11:15:06,72.25449,-18.91341,851850.6,-1739874.3
82,2003-04-02 14:14:35,72.24359,-18.92336,852079.7,-1741107.5
82,2003-04-03 11:57:54,72.1316,-19.13279,851127.6,-1755384.2
82,2003-04-03 13:19:33,72.13261,-19.13099,851133.8,-1755256.3
85,2003-04-02 11:15:06,73.28868,-21.17368,736315.1,-1667375.2
85,2003-04-02 14:14:35,73.2886,-21.17311,736335.4,-1667376.1
85,2003-04-03 11:57:54,73.2886,-21.17331,736329.6,-1667378.3
85,2003-04-03 13:19:33,73.2886,-21.17311,736335.4,-1667376.1
85,2003-04-04 12:40:48,73.28789,-21.17133,736418.8,-1667424.4
85,2003-04-04 14:02:21,73.28827,-21.17215,736377.7,-1667396.4
85,2003-04-05 11:45:41,73.28831,-21.17273,736359.5,-1667400.5
85,2003-04-05 13:07:18,73.28831,-21.17234,736370.8,-1667395.2
85,2003-04-06 12:28:33,73.2889,-21.1771,736205.8,-1667396.9
89,2003-04-02 14:14:35,79.72171,-3.12512,745133.7,-831198.0
89,2003-04-03 11:57:54,79.52919,-3.36381,755629.8,-850004.2
89,2003-04-03 13:19:33,79.48783,-3.44195,757466.0,-854413.7
89,2003-04-04 12:40:48,79.27173,-3.86855,766609.6,-877808.0
89,2003-04-04 14:02:21,79.23964,-3.94184,767789.1,-881431.8
89,2003-04-05 11:45:41,79.09407,-4.11588,775518.8,-895784.9
