floe_id,datetime,x,y,latitude,longitude
0,2014-04-10 00:00:00,598631.760635518,-1137677.4811330615,78.17358093833036,-17.24721210152579
0,2014-04-10 01:20:00,599693.6943303205,-1138686.2756192042,78.16090526650518,-17.226286463354775
0,2014-04-10 23:05:00,598795.5921263921,-1137668.1275317275,78.17295944732531,-17.24055653876737
0,2014-04-11 00:25:00,598818.5836696678,-1137648.6621132153,78.17301898536918,-17.239245762039264
0,2014-04-11 23:50:00,598715.6680886485,-1137673.812714598,78.17325358433078,-17.24382660978289
0,2014-04-12 01:05:00,598757.9576499896,-1137680.864023251,78.1730166199816,-17.242305119904202
0,2014-04-13 23:35:00,598704.722682076,-1137671.2700296736,78.17332071692307,-17.24420551729269
0,2014-04-14 00:55:00,598717.8599739922,-1137681.8119115734,78.17317957993922,-17.243906189908138
0,2014-04-15 00:20:00,598712.2367448879,-1137681.395598106,78.1732068733666,-17.244119325103824
0,2014-04-15 01:35:00,598696.6110503566,-1137686.2343383846,78.17323423701866,-17.24483602264931
1,2014-04-10 00:00:00,730479.7204767064,-1976475.5167930662,70.72564474364357,-24.71634121763949
1,2014-04-10 01:20:00,730494.3233881334,-1976492.9470265883,70.72545241866818,-24.716133075272065
1,2014-04-10 23:05:00,730467.3372659304,-1976579.541943892,70.72480686430691,-24.717637568972776
1,2014-04-11 00:25:00,730467.7884393847,-1976458.7117977908,70.72582348405116,-24.716487136508867
1,2014-04-11 23:50:00,730463.2621161798,-1976452.4716328883,70.72589015311327,-24.716543759893703
1,2014-04-12 01:05:00,730474.5495562631,-1976457.3696904003,70.72581373853332,-24.71630204124269
1,2014-04-13 00:10:00,731838.2828965907,-1977707.4719639334,70.71103366012161,-24.693321638506305
1,2014-04-13 23:35:00,730789.6588614393,-1976708.8539921232,70.72271364186122,-24.710636629266382
1,2014-04-15 00:20:00,730488.4580400649,-1976486.8424472117,70.72552211498977,-24.716225125970592
1,2014-04-15 01:35:00,730532.7141892804,-1976537.3746456055,70.72495856185307,-24.715572732096255
2,2014-04-10 00:00:00,775457.5315650246,-810864.1422749696,79.6700798149904,-1.278626281926138
2,2014-04-10 01:20:00,777546.4421883812,-812485.3119007333,79.64612506900752,-1.2587972978917814
2,2014-04-12 01:05:00,800875.9086474502,-855341.1792207792,79.21432574945779,-1.8835127080825291
2,2014-04-12 22:55:00,808327.6347441828,-865676.9645791617,79.09865624200671,-1.962115253550451
3,2014-04-10 00:00:00,778320.9293549802,-2002705.0592365072,70.35320730939706,-23.762140102184148
3,2014-04-10 01:20:00,777368.446090535,-2002747.4024691358,70.35594729082878,-23.78622665576535
3,2014-04-10 23:05:00,779974.4212324588,-2003311.4540573522,70.34275816046193,-23.72691892261982
3,2014-04-11 23:50:00,777366.3021926634,-2002647.7429076172,70.35678786825166,-23.785318154952268
3,2014-04-12 01:05:00,777802.3597394411,-2002700.8964068082,70.3549271196083,-23.77499016167368
5,2014-04-10 00:00:00,769783.8591549296,-1286591.4647887324,76.22422752598138,-14.107386117182685
5,2014-04-10 01:20:00,770304.1754385965,-1287345.645429363,76.21590405510705,-14.105122098175128
5,2014-04-10 23:05:00,778674.1739130435,-1305263.0434782607,76.03683808704918,-14.181179153060773
5,2014-04-11 00:25:00,779085.8039927405,-1306567.952813067,76.02472109099398,-14.193044717467282
5,2014-04-11 23:50:00,780246.1416267942,-1315847.9866028707,75.94674775230348,-14.333725132772175
5,2014-04-12 01:05:00,780065.6628352491,-1316186.888888889,75.94493273068035,-14.34601172194458
7,2014-04-10 00:00:00,746854.9756706175,-763235.3873986276,80.16595455562643,-0.6214804583234503
7,2014-04-10 01:20:00,747700.0594059406,-765412.4554455446,80.14627157407617,-0.6706700113795152
7,2014-04-12 01:05:00,771200.5590062111,-814512.648447205,79.6727491026195,-1.5645849812371684
7,2014-04-12 22:55:00,780024.2857142857,-824551.6326530612,79.5504262661774,-1.5895629782163925
7,2014-04-13 00:10:00,782409.4221668742,-827464.8742216688,79.51603680696252,-1.6031149573456487
9,2014-04-10 00:00:00,803950.2677322677,-1268082.127872128,76.20455878669782,-12.625747446969042
9,2014-04-10 01:20:00,804792.0190476191,-1268235.1428571427,76.19927835478283,-12.601754535905908
