datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind,x,y,x_anom,y_anom,x_tide,y_tide,x_notide,y_notide,u_tides,v_tides
2020-07-26 16:00:00,2019P198,-5.19247,78.76132,-0.2954729672613196,-0.0305498661011463,0.2970480915626405,-482.0716847275897,-3.8469998836517334,-0.6740000247955322,781836.0725693082,-938138.0673433769,,,,,,,,
2020-07-26 17:00:00,2019P198,-5.23704,78.76117,-0.2324405391359611,0.005445150573087,0.2325043094193736,-448.64303328606775,-3.8469998836517334,-0.8199999928474426,781116.5545312794,-938758.5751429325,,,,,,,,
2020-07-26 18:00:00,2019P198,-5.27099,78.76168,-0.1687646452587784,0.012587724568523,0.1692334372963402,-437.274873725909,-3.927000045776367,-0.9070000052452089,780524.5265148085,-939178.368659837,,,,,,,,
2020-07-26 19:00:00,2019P198,-5.29405,78.762,-0.1034627631091656,-0.0151953529193325,0.1045726642126248,-433.0927926117661,-3.9170000553131104,-0.8370000123977661,780124.1181928829,-939465.5160519038,,,,,,,,
2020-07-26 20:00:00,2019P198,-5.30594,78.76068,-0.0532904588707305,-0.0756255318521101,0.0925153720987357,-424.3447557433178,-3.6760001182556152,-0.8289999961853027,780021.3197828882,-939738.436783766,,,,,,,,
2020-07-26 21:00:00,2019P198,-5.31205,78.75702,-0.0435708579510793,-0.1476011657365032,0.153897770579589,-408.6150089466137,-3.3499999046325684,-1.0160000324249268,780176.6489550644,-940129.5521622549,,,,,,,,
2020-07-26 22:00:00,2019P198,-5.32065,78.75096,-0.0824017691968055,-0.2189680506891796,0.233959523827056,-391.10316573776,-3.436000108718872,-1.777999997138977,780458.573890368,-940756.5794843404,,,,,,,,
2020-07-26 23:00:00,2019P198,-5.33985,78.7426,-0.1580565439079482,-0.2607185882812702,0.3048869517501588,-375.9815376027781,-3.436000108718872,-1.9579999446868896,780726.6581368308,-941721.7390318196,,,,,,,,
2020-07-27 00:00:00,2019P198,-5.37394,78.73379,-0.2342758604124194,-0.2517608649269185,0.343902183594012,-369.95830086261833,-3.7690000534057617,-2.114000082015991,780780.5597649292,-942928.0229908857,,,,,,,,
2020-07-27 01:00:00,2019P198,-5.41879,78.72602,-0.2869752245950047,-0.2051470950038638,0.352760698094158,-370.2335639186046,-4.064000129699707,-1.8329999446868896,780583.5359355587,-944193.69494959,,,,,,,,
